TIME_S,dk_MINERALIZATION_LAYER_1,dk_NITRIFICATION_LAYER_1,dk_DENITRIFICATION_LAYER_1,dk_MINERALIZATION_LAYER_2,dk_NITRIFICATION_LAYER_2,dk_DENITRIFICATION_LAYER_2,dk_MINERALIZATION_LAYER_3,dk_NITRIFICATION_LAYER_3,dk_DENITRIFICATION_LAYER_3,dk_MINERALIZATION_LAYER_4,dk_NITRIFICATION_LAYER_4,dk_DENITRIFICATION_LAYER_4,dk_MINERALIZATION_LAYER_5,dk_NITRIFICATION_LAYER_5,dk_DENITRIFICATION_LAYER_5,dk_MINERALIZATION_LAYER_6,dk_NITRIFICATION_LAYER_6,dk_DENITRIFICATION_LAYER_6,dk_MINERALIZATION_LAYER_7,dk_NITRIFICATION_LAYER_7,dk_DENITRIFICATION_LAYER_7,dk_MINERALIZATION_LAYER_8,dk_NITRIFICATION_LAYER_8,dk_DENITRIFICATION_LAYER_8,d[H2O],d[H],d[O],d[Charge],d[[AMMONIUM]],d[[NITRATE]],d[[NITROUS_GAS]],d[[ORGANIC_N]],d[[THETA_VMC]]
  0.86400000E+01, -0.42057857E-10, -0.26146063E-09,  0.00000000E+00, -0.27363845E-10, -0.84052321E-10,  0.00000000E+00, -0.89241614E-11, -0.65613998E-10,  0.00000000E+00, -0.19740265E-11, -0.98124742E-10,  0.00000000E+00, -0.78245743E-12, -0.48052945E-10,  0.00000000E+00,  0.00000000E+00, -0.61001848E-10,  0.00000000E+00,  0.00000000E+00, -0.85463869E-10,  0.00000000E+00, -0.11721346E-11, -0.10278711E-09,  0.00000000E+00,  0.37544867E-12, -0.75242156E-12, -0.37550000E-12, -0.10575732E-21, -0.72426417E-09,  0.80656115E-09,  0.00000000E+00, -0.82274489E-10, -0.24247965E-18
  0.19863000E+02, -0.54629900E-10, -0.33961496E-09,  0.00000000E+00, -0.35544495E-10, -0.10917748E-09,  0.00000000E+00, -0.11592116E-10, -0.85226876E-10,  0.00000000E+00, -0.25641822E-11, -0.12745491E-09,  0.00000000E+00, -0.10163814E-11, -0.62416294E-10,  0.00000000E+00,  0.00000000E+00, -0.79235657E-10,  0.00000000E+00,  0.00000000E+00, -0.11100952E-09,  0.00000000E+00, -0.15225577E-11, -0.13351084E-09,  0.00000000E+00,  0.47749153E-12, -0.95642520E-12, -0.47753043E-12, -0.15969170E-21, -0.94074484E-09,  0.10476528E-08,  0.00000000E+00, -0.10686963E-09,  0.37400636E-19
  0.34475805E+02, -0.71127795E-10, -0.44216460E-09,  0.00000000E+00, -0.46280368E-10, -0.14214632E-09,  0.00000000E+00, -0.15093404E-10, -0.11096165E-09,  0.00000000E+00, -0.33386682E-11, -0.16593926E-09,  0.00000000E+00, -0.13233692E-11, -0.81262547E-10,  0.00000000E+00,  0.00000000E+00, -0.10316030E-09,  0.00000000E+00,  0.00000000E+00, -0.14452806E-09,  0.00000000E+00, -0.19824286E-11, -0.17382364E-09,  0.00000000E+00,  0.60519104E-12, -0.12124243E-11, -0.60009359E-12, -0.18014478E-21, -0.12247878E-08,  0.13639966E-08,  0.00000000E+00, -0.13914603E-09, -0.13111560E-17
  0.53441360E+02, -0.92310774E-10, -0.57382774E-09,  0.00000000E+00, -0.60066174E-10, -0.18447612E-09,  0.00000000E+00, -0.19589363E-10, -0.14400230E-09,  0.00000000E+00, -0.43331727E-11, -0.21534795E-09,  0.00000000E+00, -0.17175650E-11, -0.10545857E-09,  0.00000000E+00,  0.00000000E+00, -0.13387619E-09,  0.00000000E+00,  0.00000000E+00, -0.18756116E-09,  0.00000000E+00, -0.25729467E-11, -0.22557973E-09,  0.00000000E+00,  0.76703530E-12, -0.15358305E-11, -0.76683815E-12, -0.30807492E-21, -0.15894482E-08,  0.17701477E-08,  0.00000000E+00, -0.18059000E-09, -0.15050981E-17
  0.78070240E+02, -0.11986843E-09, -0.74509869E-09,  0.00000000E+00, -0.78002471E-10, -0.23954190E-09,  0.00000000E+00, -0.25438929E-10, -0.18698223E-09,  0.00000000E+00, -0.56270988E-11, -0.27961808E-09,  0.00000000E+00, -0.22304492E-11, -0.13693239E-09,  0.00000000E+00,  0.00000000E+00, -0.17383081E-09,  0.00000000E+00,  0.00000000E+00, -0.24353777E-09,  0.00000000E+00, -0.33412525E-11, -0.29290320E-09,  0.00000000E+00,  0.97177981E-12, -0.19457497E-11, -0.97201717E-12, -0.40618754E-21, -0.20638841E-08,  0.22984600E-08,  0.00000000E+00, -0.23450862E-09, -0.24316140E-17
  0.11008778E+03, -0.15581652E-09, -0.96849248E-09,  0.00000000E+00, -0.10140299E-09, -0.31136924E-09,  0.00000000E+00, -0.33070530E-10, -0.24304182E-09,  0.00000000E+00, -0.73152151E-11, -0.36344412E-09,  0.00000000E+00, -0.28995750E-11, -0.17798291E-09,  0.00000000E+00,  0.00000000E+00, -0.22594238E-09,  0.00000000E+00,  0.00000000E+00, -0.31654632E-09,  0.00000000E+00, -0.43436158E-11, -0.38071140E-09,  0.00000000E+00,  0.12314968E-11, -0.24644711E-11, -0.12315910E-11, -0.50264841E-21, -0.26826820E-08,  0.29875307E-08,  0.00000000E+00, -0.30484844E-09,  0.61287781E-19
  0.15163436E+03, -0.20217057E-09, -0.12565112E-08,  0.00000000E+00, -0.13158270E-09, -0.40398119E-09,  0.00000000E+00, -0.42913034E-10, -0.31531804E-09,  0.00000000E+00, -0.94923791E-11, -0.47151411E-09,  0.00000000E+00, -0.37625514E-11, -0.23090588E-09,  0.00000000E+00,  0.00000000E+00, -0.29312501E-09,  0.00000000E+00,  0.00000000E+00, -0.41066950E-09,  0.00000000E+00, -0.56363721E-11, -0.49391489E-09,  0.00000000E+00,  0.15586643E-11, -0.31195370E-11, -0.15588783E-11, -0.67934175E-21, -0.34803822E-08,  0.38759399E-08,  0.00000000E+00, -0.39555760E-09, -0.19487884E-17
  0.20551507E+03, -0.26215565E-09, -0.16291571E-08,  0.00000000E+00, -0.17064615E-09, -0.52381461E-09,  0.00000000E+00, -0.55652788E-10, -0.40882969E-09,  0.00000000E+00, -0.12310414E-10, -0.61132804E-09,  0.00000000E+00, -0.48795579E-11, -0.29937405E-09,  0.00000000E+00,  0.00000000E+00, -0.38004067E-09,  0.00000000E+00,  0.00000000E+00, -0.53243874E-09,  0.00000000E+00, -0.73096640E-11, -0.64036958E-09,  0.00000000E+00,  0.19685365E-11, -0.39391664E-11, -0.19686618E-11, -0.91438348E-21, -0.45123983E-08,  0.50253525E-08,  0.00000000E+00, -0.51295422E-09, -0.25550395E-17
  0.27623351E+03, -0.34402057E-09, -0.21376224E-08,  0.00000000E+00, -0.22397298E-09, -0.68733966E-09,  0.00000000E+00, -0.73044254E-10, -0.53642200E-09,  0.00000000E+00, -0.16157414E-10, -0.80208488E-09,  0.00000000E+00, -0.64044159E-11, -0.39278922E-09,  0.00000000E+00,  0.00000000E+00, -0.49862372E-09,  0.00000000E+00,  0.00000000E+00, -0.69857415E-09,  0.00000000E+00, -0.95939300E-11, -0.84018581E-09,  0.00000000E+00,  0.25137447E-11, -0.50295661E-11, -0.25139490E-11, -0.12160216E-20, -0.59204483E-08,  0.65936418E-08,  0.00000000E+00, -0.67319357E-09, -0.40698001E-17
  0.36856036E+03, -0.44903810E-09, -0.27896787E-08,  0.00000000E+00, -0.29240913E-09, -0.89707435E-09,  0.00000000E+00, -0.95363323E-10, -0.70004294E-09,  0.00000000E+00, -0.21094404E-10, -0.10466817E-08,  0.00000000E+00, -0.83613227E-11, -0.51256986E-09,  0.00000000E+00,  0.00000000E+00, -0.65067345E-09,  0.00000000E+00,  0.00000000E+00, -0.91159654E-09,  0.00000000E+00, -0.12525406E-10, -0.10963970E-08,  0.00000000E+00,  0.31866790E-11, -0.63750808E-11, -0.31869222E-11, -0.20678989E-20, -0.77259216E-08,  0.86047147E-08,  0.00000000E+00, -0.87879168E-09, -0.24848179E-17
