step,date_serial,day,N_Leach_step,cum_NO3N_leached_kgNha
1,45292.0,0.0,0.0,0.0
2,45292.042969,0.04296900000190362,-0.0018,0.0018
3,45292.082031,0.08203099999809638,-0.00181,0.00361
4,45292.125,0.125,-0.00181,0.0054199999999999995
5,45292.167969,0.16796900000190362,-0.00182,0.00724
6,45292.207031,0.20703099999809638,-0.00182,0.00906
7,45292.25,0.25,-0.00183,0.01089
8,45292.292969,0.2929690000019036,-0.00183,0.01272
9,45292.332031,0.3320309999980964,-0.00184,0.01456
10,45292.375,0.375,-0.00184,0.0164
11,45292.417969,0.4179690000019036,-0.00184,0.018240000000000003
12,45292.457031,0.4570309999980964,-0.00184,0.020080000000000004
13,45292.5,0.5,-0.00184,0.021920000000000005
14,45292.542969,0.5429690000019036,-0.00184,0.023760000000000007
15,45292.582031,0.5820309999980964,-0.00184,0.025600000000000008
16,45292.625,0.625,-0.00184,0.02744000000000001
17,45292.667969,0.6679690000019036,-0.00183,0.02927000000000001
18,45292.707031,0.7070309999980964,-0.00183,0.03110000000000001
19,45292.75,0.75,-0.00182,0.03292000000000001
20,45292.792969,0.7929690000019036,-0.00181,0.03473000000000001
21,45292.832031,0.8320309999980964,-0.0018,0.036530000000000014
22,45292.875,0.875,-2.49922,2.53575
23,45292.917969,0.9179690000019036,-3.21742,5.753170000000001
24,45292.957031,0.9570309999980964,-1.98362,7.736790000000001
25,45293.0,1.0,-1.35985,9.09664
26,45293.042969,1.0429690000019036,-1.00897,10.10561
27,45293.082031,1.0820309999980964,-0.79444,10.90005
28,45293.125,1.125,-0.63725,11.5373
29,45293.167969,1.1679690000019036,-0.54014,12.07744
30,45293.207031,1.2070309999980964,-0.45284,12.53028
31,45293.25,1.25,-0.39095,12.92123
32,45293.292969,1.2929690000019036,-0.3474,13.26863
33,45293.332031,1.3320309999980964,-0.30642,13.57505
34,45293.375,1.375,-0.27199,13.84704
35,45293.417969,1.4179690000019036,-0.24864,14.09568
36,45293.457031,1.4570309999980964,-0.23144,14.327119999999999
37,45293.5,1.5,-0.2142,14.541319999999999
38,45293.542969,1.5429690000019036,-0.19775,14.739069999999998
39,45293.582031,1.5820309999980964,-0.18226,14.921329999999998
40,45293.625,1.625,-0.16793,15.089259999999998
41,45293.667969,1.6679690000019036,-0.15777,15.247029999999997
42,45293.707031,1.7070309999980964,-0.15023,15.397259999999998
43,45293.75,1.75,-0.1426,15.539859999999997
44,45293.792969,1.7929690000019036,-0.13514,15.674999999999997
45,45293.832031,1.8320309999980964,-0.12793,15.802929999999996
46,45293.875,1.875,-0.12099,15.923919999999997
47,45293.917969,1.9179690000019036,-0.11435,16.038269999999997
48,45293.957031,1.9570309999980964,-0.10801,16.146279999999997
49,45294.0,2.0,-0.10203,16.248309999999996
50,45294.042969,2.0429690000019036,-0.09716,16.345469999999995
51,45294.082031,2.0820309999980964,-0.09404,16.439509999999995
52,45294.125,2.125,-0.09093,16.530439999999995
53,45294.167969,2.1679690000019036,-0.08782,16.618259999999996
54,45294.207031,2.2070309999980964,-0.08475,16.703009999999995
55,45294.25,2.25,-0.08173,16.784739999999996
56,45294.292969,2.2929690000019036,-0.07878,16.863519999999994
57,45294.332031,2.3320309999980964,-0.0759,16.939419999999995
58,45294.375,2.375,-0.0731,17.012519999999995
59,45294.417969,2.4179690000019036,-0.07038,17.082899999999995
60,45294.457031,2.4570309999980964,-0.06774,17.150639999999996
61,45294.5,2.5,-0.06517,17.215809999999994
62,45294.542969,2.5429690000019036,-0.06269,17.278499999999994
63,45294.582031,2.5820309999980964,-0.06031,17.338809999999995
64,45294.625,2.625,-0.0581,17.396909999999995
65,45294.667969,2.6679690000019036,-0.05662,17.453529999999994
66,45294.707031,2.7070309999980964,-0.05543,17.508959999999995
67,45294.75,2.75,-0.05421,17.563169999999996
68,45294.792969,2.7929690000019036,-0.053,17.616169999999997
69,45294.832031,2.8320309999980964,-0.05178,17.667949999999998
70,45294.875,2.875,-0.05058,17.718529999999998
71,45294.917969,2.9179690000019036,-0.04939,17.767919999999997
72,45294.957031,2.9570309999980964,-0.04821,17.816129999999998
73,45295.0,3.0,-0.04705,17.863179999999996
74,45295.042969,3.0429690000019036,-0.04591,17.909089999999996
75,45295.082031,3.0820309999980964,-0.04478,17.953869999999995
76,45295.125,3.125,-0.04367,17.997539999999994
77,45295.167969,3.1679690000019036,-0.04259,18.040129999999994
78,45295.207031,3.2070309999980964,-0.04152,18.081649999999993
79,45295.25,3.25,-0.04047,18.122119999999992
80,45295.292969,3.2929690000019036,-0.03944,18.16155999999999
81,45295.332031,3.3320309999980964,-0.03843,18.199989999999993
82,45295.375,3.375,-0.03744,18.237429999999993
83,45295.417969,3.4179690000019036,-0.03647,18.273899999999994
84,45295.457031,3.4570309999980964,-0.03552,18.309419999999996
85,45295.5,3.5,-0.0346,18.344019999999997
86,45295.542969,3.5429690000019036,-0.03371,18.377729999999996
87,45295.582031,3.5820309999980964,-0.03296,18.410689999999995
88,45295.625,3.625,-0.03249,18.443179999999995
89,45295.667969,3.6679690000019036,-0.03203,18.475209999999993
90,45295.707031,3.7070309999980964,-0.03156,18.506769999999992
91,45295.75,3.75,-0.0311,18.53786999999999
92,45295.792969,3.7929690000019036,-0.03063,18.56849999999999
93,45295.832031,3.8320309999980964,-0.03016,18.598659999999988
94,45295.875,3.875,-0.0297,18.628359999999986
95,45295.917969,3.9179690000019036,-0.02924,18.657599999999988
96,45295.957031,3.9570309999980964,-0.02878,18.68637999999999
97,45296.0,4.0,-0.02832,18.71469999999999
98,45296.042969,4.042969000001904,-0.02786,18.74255999999999
99,45296.082031,4.082030999998096,-0.02741,18.76996999999999
100,45296.125,4.125,-0.02697,18.79693999999999
101,45296.167969,4.167969000001904,-0.02652,18.82345999999999
102,45296.207031,4.207030999998096,-0.02609,18.84954999999999
103,45296.25,4.25,-0.02565,18.87519999999999
104,45296.292969,4.292969000001904,-0.02522,18.90041999999999
105,45296.332031,4.332030999998096,-0.0248,18.92521999999999
106,45296.375,4.375,-0.02438,18.94959999999999
107,45296.417969,4.417969000001904,-0.02396,18.97355999999999
108,45296.457031,4.457030999998096,-0.02355,18.99710999999999
109,45296.5,4.5,-0.02314,19.02024999999999
110,45296.542969,4.542969000001904,-0.02274,19.04298999999999
111,45296.582031,4.582030999998096,-0.02234,19.06532999999999
112,45296.625,4.625,-0.02195,19.08727999999999
113,45296.667969,4.667969000001904,-0.02156,19.10883999999999
114,45296.707031,4.707030999998096,-0.02117,19.13000999999999
115,45296.75,4.75,-0.0208,19.150809999999993
116,45296.792969,4.792969000001904,-0.02042,19.171229999999994
117,45296.832031,4.832030999998096,-0.02005,19.191279999999995
118,45296.875,4.875,-0.01969,19.210969999999996
119,45296.917969,4.917969000001904,-0.01934,19.230309999999996
120,45296.957031,4.957030999998096,-0.01899,19.249299999999995
121,45297.0,5.0,-0.01867,19.267969999999995
122,45297.042969,5.042969000001904,-0.01846,19.286429999999996
123,45297.082031,5.082030999998096,-0.01828,19.304709999999996
124,45297.125,5.125,-0.01811,19.322819999999997
125,45297.167969,5.167969000001904,-0.01793,19.340749999999996
126,45297.207031,5.207030999998096,-0.01775,19.358499999999996
127,45297.25,5.25,-0.01757,19.376069999999995
128,45297.292969,5.292969000001904,-0.01739,19.393459999999994
129,45297.332031,5.332030999998096,-0.01721,19.410669999999993
130,45297.375,5.375,-0.01703,19.42769999999999
131,45297.417969,5.417969000001904,-0.01685,19.444549999999992
132,45297.457031,5.457030999998096,-0.01667,19.461219999999994
133,45297.5,5.5,-0.01649,19.477709999999995
134,45297.542969,5.542969000001904,-0.01631,19.494019999999995
135,45297.582031,5.582030999998096,-0.01613,19.510149999999996
136,45297.625,5.625,-0.01595,19.526099999999996
137,45297.667969,5.667969000001904,-0.01578,19.541879999999995
138,45297.707031,5.707030999998096,-0.0156,19.557479999999995
139,45297.75,5.75,-0.01543,19.572909999999993
140,45297.792969,5.792969000001904,-0.01525,19.588159999999995
141,45297.832031,5.832030999998096,-0.01508,19.603239999999996
142,45297.875,5.875,-0.01491,19.618149999999996
143,45297.917969,5.917969000001904,-0.01474,19.632889999999996
144,45297.957031,5.957030999998096,-0.01457,19.647459999999995
145,45298.0,6.0,-0.0144,19.661859999999994
146,45298.042969,6.042969000001904,-0.01423,19.676089999999995
147,45298.082031,6.082030999998096,-0.01406,19.690149999999996
148,45298.125,6.125,-0.01389,19.704039999999996
149,45298.167969,6.167969000001904,-0.01373,19.717769999999994
150,45298.207031,6.207030999998096,-0.01357,19.731339999999996
151,45298.25,6.25,-0.0134,19.744739999999997
152,45298.292969,6.292969000001904,-0.01324,19.757979999999996
153,45298.332031,6.332030999998096,-0.01308,19.771059999999995
154,45298.375,6.375,-0.01292,19.783979999999996
155,45298.417969,6.417969000001904,-0.01276,19.796739999999996
156,45298.457031,6.457030999998096,-0.0126,19.809339999999995
157,45298.5,6.5,-0.01245,19.821789999999996
158,45298.542969,6.542969000001904,-0.01229,19.834079999999997
159,45298.582031,6.582030999998096,-0.01214,19.846219999999995
160,45298.625,6.625,-0.01198,19.858199999999997
161,45298.667969,6.667969000001904,-0.01183,19.870029999999996
162,45298.707031,6.707030999998096,-0.01168,19.881709999999995
163,45298.75,6.75,-0.01153,19.893239999999995
164,45298.792969,6.792969000001904,-0.01138,19.904619999999994
165,45298.832031,6.832030999998096,-0.01124,19.915859999999995
166,45298.875,6.875,-0.01109,19.926949999999994
167,45298.917969,6.917969000001904,-0.01095,19.937899999999996
168,45298.957031,6.957030999998096,-0.01081,19.948709999999995
169,45299.0,7.0,-0.01067,19.959379999999996
170,45299.042969,7.042969000001904,-0.01053,19.969909999999995
171,45299.082031,7.082030999998096,-0.01039,19.980299999999996
172,45299.125,7.125,-0.01028,19.990579999999998
173,45299.167969,7.167969000001904,-0.01022,20.000799999999998
174,45299.207031,7.207030999998096,-0.01015,20.010949999999998
175,45299.25,7.25,-0.01008,20.021029999999996
176,45299.292969,7.292969000001904,-0.01001,20.031039999999997
177,45299.332031,7.332030999998096,-0.00994,20.040979999999998
178,45299.375,7.375,-0.00986,20.050839999999997
179,45299.417969,7.417969000001904,-0.00979,20.060629999999996
180,45299.457031,7.457030999998096,-0.00972,20.070349999999998
181,45299.5,7.5,-0.00965,20.08
182,45299.542969,7.542969000001904,-0.00958,20.089579999999998
183,45299.582031,7.582030999998096,-0.00951,20.099089999999997
184,45299.625,7.625,-0.00944,20.10853
185,45299.667969,7.667969000001904,-0.00937,20.1179
186,45299.707031,7.707030999998096,-0.00929,20.12719
187,45299.75,7.75,-0.00922,20.136409999999998
188,45299.792969,7.792969000001904,-0.00915,20.14556
189,45299.832031,7.832030999998096,-0.00908,20.15464
190,45299.875,7.875,-0.00901,20.16365
191,45299.917969,7.917969000001904,-0.00894,20.17259
192,45299.957031,7.957030999998096,-0.00887,20.18146
193,45300.0,8.0,-0.0088,20.190260000000002
194,45300.042969,8.042969000001904,-0.00873,20.198990000000002
195,45300.082031,8.082030999998096,-0.00866,20.20765
196,45300.125,8.125,-0.00859,20.216240000000003
197,45300.167969,8.167969000001904,-0.00852,20.224760000000003
198,45300.207031,8.207030999998096,-0.00845,20.233210000000003
