TIME_S,dk_MINERALIZATION_LAYER_1,dk_NITRIFICATION_LAYER_1,dk_DENITRIFICATION_LAYER_1,dk_MINERALIZATION_LAYER_2,dk_NITRIFICATION_LAYER_2,dk_DENITRIFICATION_LAYER_2,dk_MINERALIZATION_LAYER_3,dk_NITRIFICATION_LAYER_3,dk_DENITRIFICATION_LAYER_3,dk_MINERALIZATION_LAYER_4,dk_NITRIFICATION_LAYER_4,dk_DENITRIFICATION_LAYER_4,dk_MINERALIZATION_LAYER_5,dk_NITRIFICATION_LAYER_5,dk_DENITRIFICATION_LAYER_5,dk_MINERALIZATION_LAYER_6,dk_NITRIFICATION_LAYER_6,dk_DENITRIFICATION_LAYER_6,dk_MINERALIZATION_LAYER_7,dk_NITRIFICATION_LAYER_7,dk_DENITRIFICATION_LAYER_7,dk_MINERALIZATION_LAYER_8,dk_NITRIFICATION_LAYER_8,dk_DENITRIFICATION_LAYER_8,d[H2O],d[H],d[O],d[Charge],d[[AMMONIUM]],d[[NITRATE]],d[[NITROUS_GAS]],d[[ORGANIC_N]],d[[THETA_VMC]]
  0.86400000E+01, -0.21683996E-09, -0.26146366E-09, -0.63902622E-09, -0.14107827E-09, -0.84054286E-10, -0.26071096E-10, -0.46009818E-10, -0.65614641E-10, -0.42862740E-10, -0.10177387E-10, -0.98124886E-10, -0.76910681E-11, -0.40340731E-11, -0.48053000E-10, -0.91172282E-11,  0.00000000E+00, -0.61001848E-10, -0.13231035E-10,  0.00000000E+00, -0.85463869E-10, -0.44697962E-10, -0.57584315E-11, -0.10278719E-09, -0.34702428E-09,  0.37544867E-12, -0.75242156E-12, -0.37550000E-12, -0.82412567E-22, -0.38265380E-09, -0.32315222E-09,  0.56486082E-09, -0.42389792E-09, -0.24247965E-18
  0.19863000E+02, -0.28166605E-09, -0.33962806E-09, -0.83004614E-09, -0.18325478E-09, -0.10918601E-09, -0.33868092E-10, -0.59764832E-10, -0.85229657E-10, -0.55677131E-10, -0.13220003E-10, -0.12745552E-09, -0.99903572E-11, -0.52400972E-11, -0.62416539E-10, -0.11843014E-10,  0.00000000E+00, -0.79235657E-10, -0.17187175E-10,  0.00000000E+00, -0.11100952E-09, -0.58059806E-10, -0.74799639E-11, -0.13351119E-09, -0.45076412E-09,  0.47693321E-12, -0.95653675E-12, -0.47662832E-12, -0.16274818E-21, -0.49704644E-09, -0.41976369E-09,  0.73371792E-09, -0.55062572E-09, -0.23897030E-17
  0.34475805E+02, -0.36674054E-09, -0.44220381E-09, -0.10807101E-08, -0.23860510E-09, -0.14217184E-09, -0.44102578E-10, -0.77816220E-10, -0.11096997E-09, -0.72494340E-10, -0.17212975E-10, -0.16594109E-09, -0.13007862E-10, -0.68228145E-11, -0.81263279E-10, -0.15420311E-10,  0.00000000E+00, -0.10316030E-09, -0.22380669E-10,  0.00000000E+00, -0.14452806E-09, -0.75592309E-10, -0.97392147E-11, -0.17382467E-09, -0.58689859E-09,  0.60479305E-12, -0.12116315E-11, -0.60466004E-12, -0.23275015E-21, -0.64712614E-09, -0.54654380E-09,  0.95530342E-09, -0.71693687E-09, -0.18950119E-18
  0.53441360E+02, -0.47598359E-09, -0.57391608E-09, -0.14025544E-08, -0.30967975E-09, -0.18453361E-09, -0.57248006E-10, -0.10099578E-09, -0.14402105E-09, -0.94089429E-10, -0.22340302E-10, -0.21535210E-09, -0.16882609E-10, -0.88551666E-11, -0.10546021E-09, -0.20014034E-10,  0.00000000E+00, -0.13387619E-09, -0.29053584E-10,  0.00000000E+00, -0.18756116E-09, -0.98098072E-10, -0.12640289E-10, -0.22558205E-09, -0.76169694E-09,  0.76774596E-12, -0.15372857E-11, -0.76754938E-12, -0.32026466E-21, -0.83980756E-09, -0.70933458E-09,  0.12398185E-08, -0.93049488E-09, -0.26782916E-17
  0.78070240E+02, -0.61811644E-09, -0.74527652E-09, -0.18212468E-08, -0.40215284E-09, -0.23965760E-09, -0.74356824E-10, -0.13115402E-09, -0.18701996E-09, -0.12218669E-09, -0.29011316E-10, -0.27962643E-09, -0.21923944E-10, -0.11499401E-10, -0.13693570E-09, -0.25991051E-10,  0.00000000E+00, -0.17383081E-09, -0.37744640E-10,  0.00000000E+00, -0.24353777E-09, -0.12736235E-09, -0.16414792E-10, -0.29290786E-09, -0.98910514E-09,  0.97166133E-12, -0.19451739E-11, -0.97174896E-12, -0.40316657E-21, -0.10904438E-08, -0.92112483E-09,  0.16099587E-08, -0.12083488E-08, -0.21276384E-17
  0.11008778E+03, -0.80354935E-09, -0.96883016E-09, -0.23674087E-08, -0.52279741E-09, -0.31158895E-09, -0.96687369E-10, -0.17049981E-09, -0.24311347E-09, -0.15884456E-09, -0.37714626E-10, -0.36345996E-09, -0.28501124E-10, -0.14949186E-10, -0.17798918E-09, -0.33789382E-10,  0.00000000E+00, -0.22594238E-09, -0.49103271E-10,  0.00000000E+00, -0.31654632E-09, -0.16550380E-09, -0.21339184E-10, -0.38072026E-09, -0.12857641E-08,  0.12312527E-11, -0.24638160E-11, -0.12313945E-11, -0.49245258E-21, -0.14173411E-08, -0.11974116E-08,  0.20928011E-08, -0.15708496E-08, -0.12015215E-17
  0.15163436E+03, -0.10427026E-08, -0.12571291E-08, -0.30716529E-08, -0.67839297E-09, -0.40438317E-09, -0.12550351E-09, -0.22124418E-09, -0.31544914E-09, -0.20612386E-09, -0.48939308E-10, -0.47154310E-09, -0.36983776E-10, -0.19398383E-10, -0.23091737E-09, -0.43847670E-10,  0.00000000E+00, -0.29312501E-09, -0.63793821E-10,  0.00000000E+00, -0.41066950E-09, -0.21461555E-09, -0.27690184E-10, -0.49393110E-09, -0.16683173E-08,  0.15589292E-11, -0.31199876E-11, -0.15590628E-11, -0.66221481E-21, -0.18387799E-08, -0.15536909E-08,  0.27154192E-08, -0.20383676E-08, -0.82616206E-18
  0.20551507E+03, -0.13522529E-08, -0.16302607E-08, -0.39829632E-08, -0.87978971E-09, -0.52453258E-09, -0.16282919E-09, -0.28692569E-09, -0.40906384E-09, -0.26732290E-09, -0.63468103E-10, -0.61137983E-09, -0.47963470E-10, -0.25157254E-10, -0.29939458E-09, -0.56867980E-10,  0.00000000E+00, -0.38004066E-09, -0.82888490E-10,  0.00000000E+00, -0.53243874E-09, -0.27802995E-09, -0.35910672E-10, -0.64039853E-09, -0.21633988E-08,  0.19688084E-11, -0.39395784E-11, -0.19564743E-11, -0.92390008E-21, -0.23840051E-08, -0.20147545E-08,  0.35211320E-08, -0.26435044E-08, -0.24107452E-17
  0.27623351E+03, -0.17748302E-08, -0.21395853E-08, -0.52266411E-08, -0.11547230E-08, -0.68861665E-09, -0.21382824E-09, -0.37658969E-09, -0.53683845E-09, -0.35087192E-09, -0.83301843E-10, -0.80217699E-09, -0.62952301E-10, -0.33018882E-10, -0.39282573E-09, -0.74644480E-10,  0.00000000E+00, -0.49862371E-09, -0.10909908E-09,  0.00000000E+00, -0.69857414E-09, -0.36432093E-09, -0.47132737E-10, -0.84023730E-09, -0.28391226E-08,  0.25135292E-11, -0.50290226E-11, -0.25136578E-11, -0.13359117E-20, -0.31278819E-08, -0.26440024E-08,  0.46207403E-08, -0.34695964E-08, -0.31692877E-17
  0.36856036E+03, -0.23171372E-08, -0.27931225E-08, -0.68219716E-08, -0.15075538E-08, -0.89931475E-09, -0.27936019E-09, -0.49165847E-09, -0.70077359E-09, -0.45810103E-09, -0.10875515E-09, -0.10468433E-08, -0.82188225E-10, -0.43107973E-10, -0.51263391E-09, -0.97461517E-10,  0.00000000E+00, -0.65067345E-09, -0.14300007E-09,  0.00000000E+00, -0.91159653E-09, -0.47455092E-09, -0.61534401E-10, -0.10964873E-08, -0.37060542E-08,  0.31868617E-11, -0.63752237E-11, -0.31870313E-11, -0.20724591E-20, -0.40816983E-08, -0.34512424E-08,  0.60313439E-08, -0.45297470E-08, -0.24355171E-17
