TIME_S,dk_MINERALIZATION_LAYER_1,dk_NITRIFICATION_LAYER_1,dk_DENITRIFICATION_LAYER_1,dk_MINERALIZATION_LAYER_2,dk_NITRIFICATION_LAYER_2,dk_DENITRIFICATION_LAYER_2,dk_MINERALIZATION_LAYER_3,dk_NITRIFICATION_LAYER_3,dk_DENITRIFICATION_LAYER_3,dk_MINERALIZATION_LAYER_4,dk_NITRIFICATION_LAYER_4,dk_DENITRIFICATION_LAYER_4,dk_MINERALIZATION_LAYER_5,dk_NITRIFICATION_LAYER_5,dk_DENITRIFICATION_LAYER_5,dk_MINERALIZATION_LAYER_6,dk_NITRIFICATION_LAYER_6,dk_DENITRIFICATION_LAYER_6,dk_MINERALIZATION_LAYER_7,dk_NITRIFICATION_LAYER_7,dk_DENITRIFICATION_LAYER_7,dk_MINERALIZATION_LAYER_8,dk_NITRIFICATION_LAYER_8,dk_DENITRIFICATION_LAYER_8,d[H2O],d[H],d[O],d[Charge],d[[AMMONIUM]],d[[NITRATE]],d[[NITROUS_GAS]],d[[ORGANIC_N]],d[[THETA_VMC]]
  0.86400000E+01, -0.21683996E-09, -0.26146366E-09,  0.00000000E+00, -0.14107827E-09, -0.84054286E-10,  0.00000000E+00, -0.46009818E-10, -0.65614641E-10,  0.00000000E+00, -0.10177387E-10, -0.98124886E-10,  0.00000000E+00, -0.40340731E-11, -0.48053000E-10,  0.00000000E+00,  0.00000000E+00, -0.61001848E-10,  0.00000000E+00,  0.00000000E+00, -0.85463869E-10,  0.00000000E+00, -0.57584315E-11, -0.10278719E-09,  0.00000000E+00,  0.37544867E-12, -0.75242156E-12, -0.37550000E-12, -0.10575732E-21, -0.38265380E-09,  0.80656707E-09,  0.00000000E+00, -0.42389792E-09, -0.24247965E-18
  0.19863000E+02, -0.28166605E-09, -0.33962806E-09,  0.00000000E+00, -0.18325478E-09, -0.10918601E-09,  0.00000000E+00, -0.59764832E-10, -0.85229657E-10,  0.00000000E+00, -0.13220003E-10, -0.12745552E-09,  0.00000000E+00, -0.52400972E-11, -0.62416539E-10,  0.00000000E+00,  0.00000000E+00, -0.79235657E-10,  0.00000000E+00,  0.00000000E+00, -0.11100952E-09,  0.00000000E+00, -0.74799639E-11, -0.13351119E-09,  0.00000000E+00,  0.47749153E-12, -0.95642520E-12, -0.47753043E-12, -0.16225692E-21, -0.49702651E-09,  0.10476784E-08,  0.00000000E+00, -0.55062569E-09,  0.37400636E-19
  0.34475805E+02, -0.36674054E-09, -0.44220381E-09,  0.00000000E+00, -0.23860510E-09, -0.14217184E-09,  0.00000000E+00, -0.77816220E-10, -0.11096997E-09,  0.00000000E+00, -0.17212975E-10, -0.16594109E-09,  0.00000000E+00, -0.68228145E-11, -0.81263279E-10,  0.00000000E+00,  0.00000000E+00, -0.10316030E-09,  0.00000000E+00,  0.00000000E+00, -0.14452806E-09,  0.00000000E+00, -0.97392147E-11, -0.17382467E-09,  0.00000000E+00,  0.60517620E-12, -0.12124923E-11, -0.60012755E-12, -0.18869461E-21, -0.64709393E-09,  0.13640733E-08,  0.00000000E+00, -0.71693681E-09, -0.13387208E-17
  0.53441360E+02, -0.47598359E-09, -0.57391608E-09,  0.00000000E+00, -0.30967975E-09, -0.18453361E-09,  0.00000000E+00, -0.10099578E-09, -0.14402105E-09,  0.00000000E+00, -0.22340302E-10, -0.21535210E-09,  0.00000000E+00, -0.88551666E-11, -0.10546021E-09,  0.00000000E+00,  0.00000000E+00, -0.13387619E-09,  0.00000000E+00,  0.00000000E+00, -0.18756116E-09,  0.00000000E+00, -0.12640289E-10, -0.22558205E-09,  0.00000000E+00,  0.76698777E-12, -0.15357175E-11, -0.76678167E-12, -0.30937979E-21, -0.83975067E-09,  0.17703203E-08,  0.00000000E+00, -0.93049478E-09, -0.13455036E-17
  0.78070240E+02, -0.61811644E-09, -0.74527652E-09,  0.00000000E+00, -0.40215284E-09, -0.23965760E-09,  0.00000000E+00, -0.13115402E-09, -0.18701996E-09,  0.00000000E+00, -0.29011316E-10, -0.27962643E-09,  0.00000000E+00, -0.11499401E-10, -0.13693570E-09,  0.00000000E+00,  0.00000000E+00, -0.17383081E-09,  0.00000000E+00,  0.00000000E+00, -0.24353777E-09,  0.00000000E+00, -0.16414792E-10, -0.29290787E-09,  0.00000000E+00,  0.97183564E-12, -0.19454345E-11, -0.97185957E-12, -0.39483045E-21, -0.10904314E-08,  0.22988100E-08,  0.00000000E+00, -0.12083486E-08, -0.34385862E-17
  0.11008778E+03, -0.80354935E-09, -0.96883016E-09,  0.00000000E+00, -0.52279741E-09, -0.31158895E-09,  0.00000000E+00, -0.17049981E-09, -0.24311347E-09,  0.00000000E+00, -0.37714626E-10, -0.36345997E-09,  0.00000000E+00, -0.14949186E-10, -0.17798919E-09,  0.00000000E+00,  0.00000000E+00, -0.22594238E-09,  0.00000000E+00,  0.00000000E+00, -0.31654632E-09,  0.00000000E+00, -0.21339184E-10, -0.38072026E-09,  0.00000000E+00,  0.12316245E-11, -0.24646334E-11, -0.12316503E-11, -0.49274582E-21, -0.14173358E-08,  0.29882120E-08,  0.00000000E+00, -0.15708494E-08, -0.11436164E-17
  0.15163436E+03, -0.10427026E-08, -0.12571291E-08,  0.00000000E+00, -0.67839297E-09, -0.40438317E-09,  0.00000000E+00, -0.22124418E-09, -0.31544914E-09,  0.00000000E+00, -0.48939308E-10, -0.47154311E-09,  0.00000000E+00, -0.19398383E-10, -0.23091737E-09,  0.00000000E+00,  0.00000000E+00, -0.29312501E-09,  0.00000000E+00,  0.00000000E+00, -0.41066950E-09,  0.00000000E+00, -0.27690184E-10, -0.49393110E-09,  0.00000000E+00,  0.15587672E-11, -0.31196246E-11, -0.15589435E-11, -0.58119680E-21, -0.18387709E-08,  0.38771834E-08,  0.00000000E+00, -0.20383672E-08, -0.20690220E-17
  0.20551507E+03, -0.13522529E-08, -0.16302607E-08,  0.00000000E+00, -0.87978971E-09, -0.52453259E-09,  0.00000000E+00, -0.28692569E-09, -0.40906384E-09,  0.00000000E+00, -0.63468103E-10, -0.61137984E-09,  0.00000000E+00, -0.25157254E-10, -0.29939458E-09,  0.00000000E+00,  0.00000000E+00, -0.38004067E-09,  0.00000000E+00,  0.00000000E+00, -0.53243874E-09,  0.00000000E+00, -0.35910672E-10, -0.64039854E-09,  0.00000000E+00,  0.19686118E-11, -0.39392125E-11, -0.19687292E-11, -0.91824584E-21, -0.23839900E-08,  0.50275698E-08,  0.00000000E+00, -0.26435038E-08, -0.26991430E-17
  0.27623351E+03, -0.17748302E-08, -0.21395853E-08,  0.00000000E+00, -0.11547230E-08, -0.68861666E-09,  0.00000000E+00, -0.37658969E-09, -0.53683846E-09,  0.00000000E+00, -0.83301843E-10, -0.80217700E-09,  0.00000000E+00, -0.33018882E-10, -0.39282573E-09,  0.00000000E+00,  0.00000000E+00, -0.49862372E-09,  0.00000000E+00,  0.00000000E+00, -0.69857415E-09,  0.00000000E+00, -0.47132737E-10, -0.84023731E-09,  0.00000000E+00,  0.25136077E-11, -0.50291120E-11, -0.25137938E-11, -0.13734518E-20, -0.31278560E-08,  0.65975822E-08,  0.00000000E+00, -0.34695954E-08, -0.35874255E-17
  0.36856036E+03, -0.23171372E-08, -0.27931225E-08,  0.00000000E+00, -0.15075538E-08, -0.89931476E-09,  0.00000000E+00, -0.49165847E-09, -0.70077361E-09,  0.00000000E+00, -0.10875515E-09, -0.10468433E-08,  0.00000000E+00, -0.43107973E-10, -0.51263392E-09,  0.00000000E+00,  0.00000000E+00, -0.65067345E-09,  0.00000000E+00,  0.00000000E+00, -0.91159654E-09,  0.00000000E+00, -0.61534401E-10, -0.10964874E-08,  0.00000000E+00,  0.31868554E-11, -0.63754029E-11, -0.31871220E-11, -0.20619564E-20, -0.40816724E-08,  0.86115894E-08,  0.00000000E+00, -0.45297456E-08, -0.27458938E-17
  0.48824332E+03, -0.30036954E-08, -0.36203372E-08,  0.00000000E+00, -0.19542363E-08, -0.11662657E-08,  0.00000000E+00, -0.63733513E-09, -0.90824390E-09,  0.00000000E+00, -0.14097899E-09, -0.13562704E-08,  0.00000000E+00, -0.55880744E-10, -0.66415071E-09,  0.00000000E+00,  0.00000000E+00, -0.84294619E-09,  0.00000000E+00,  0.00000000E+00, -0.11809715E-08,  0.00000000E+00, -0.79766873E-10, -0.14205464E-08,  0.00000000E+00,  0.40017005E-11, -0.80049557E-11, -0.40017929E-11, -0.30409095E-20, -0.52877968E-08,  0.11159974E-07,  0.00000000E+00, -0.58718909E-08, -0.30886405E-17
  0.64383116E+03, -0.39048001E-08, -0.47058006E-08,  0.00000000E+00, -0.25405054E-08, -0.15169654E-08,  0.00000000E+00, -0.82853535E-09, -0.11804363E-08,  0.00000000E+00, -0.18327272E-09, -0.17618896E-08,  0.00000000E+00, -0.72644984E-10, -0.86276430E-09,  0.00000000E+00,  0.00000000E+00, -0.10949547E-08,  0.00000000E+00,  0.00000000E+00, -0.15340366E-08,  0.00000000E+00, -0.10369698E-09, -0.18453181E-08,  0.00000000E+00,  0.50226539E-11, -0.10047134E-10, -0.50228824E-11, -0.45008401E-20, -0.68687100E-08,  0.14502166E-07,  0.00000000E+00, -0.76334555E-08, -0.16360004E-17
  0.84090909E+03, -0.49460663E-08, -0.59596222E-08,  0.00000000E+00, -0.32179657E-08, -0.19228356E-08,  0.00000000E+00, -0.10494760E-08, -0.14947550E-08,  0.00000000E+00, -0.23214516E-09, -0.22296472E-08,  0.00000000E+00, -0.92016872E-10, -0.10917939E-08,  0.00000000E+00,  0.00000000E+00, -0.13855002E-08,  0.00000000E+00,  0.00000000E+00, -0.19410923E-08,  0.00000000E+00, -0.13134937E-09, -0.23351086E-08,  0.00000000E+00,  0.61234624E-11, -0.12248851E-10, -0.61236052E-11, -0.61639770E-20, -0.86913356E-08,  0.18360355E-07,  0.00000000E+00, -0.96690194E-08, -0.28647397E-17
  0.10917355E+04, -0.62949628E-08, -0.75832591E-08,  0.00000000E+00, -0.40955749E-08, -0.24494099E-08,  0.00000000E+00, -0.13356915E-08, -0.19016653E-08,  0.00000000E+00, -0.29545661E-09, -0.28343799E-08,  0.00000000E+00, -0.11711206E-09, -0.13878778E-08,  0.00000000E+00,  0.00000000E+00, -0.17610388E-08,  0.00000000E+00,  0.00000000E+00, -0.24672235E-08,  0.00000000E+00, -0.16717150E-09, -0.29682577E-08,  0.00000000E+00,  0.74792147E-11, -0.14960535E-10, -0.74794543E-11, -0.85546012E-20, -0.11047142E-07,  0.23353112E-07,  0.00000000E+00, -0.12305969E-07, -0.21156341E-17
  0.14500591E+04, -0.89928020E-08, -0.10830178E-07,  0.00000000E+00, -0.58508236E-08, -0.35031083E-08,  0.00000000E+00, -0.19081327E-08, -0.27153187E-08,  0.00000000E+00, -0.42208183E-09, -0.40430501E-08,  0.00000000E+00, -0.16730334E-09, -0.19796473E-08,  0.00000000E+00,  0.00000000E+00, -0.25115626E-08,  0.00000000E+00,  0.00000000E+00, -0.35187109E-08,  0.00000000E+00, -0.23881706E-09, -0.42336772E-08,  0.00000000E+00,  0.10192372E-10, -0.20387069E-10, -0.10192647E-10, -0.16460823E-19, -0.15755293E-07,  0.33335253E-07,  0.00000000E+00, -0.17579961E-07, -0.14238437E-17
