step,date_serial,day,N_Leach_step,cum_NO3N_leached_kgNha
1,45292.0,0.0,0.0,0.0
2,45292.042969,0.04296900000190362,-0.0018,0.0018
3,45292.082031,0.08203099999809638,-0.00181,0.00361
4,45292.125,0.125,-0.00181,0.0054199999999999995
5,45292.167969,0.16796900000190362,-0.00182,0.00724
6,45292.207031,0.20703099999809638,-0.00182,0.00906
7,45292.25,0.25,-0.00183,0.01089
8,45292.292969,0.2929690000019036,-0.00183,0.01272
9,45292.332031,0.3320309999980964,-0.00184,0.01456
10,45292.375,0.375,-0.00184,0.0164
11,45292.417969,0.4179690000019036,-0.00184,0.018240000000000003
12,45292.457031,0.4570309999980964,-0.00184,0.020080000000000004
13,45292.5,0.5,-0.00184,0.021920000000000005
14,45292.542969,0.5429690000019036,-0.00184,0.023760000000000007
15,45292.582031,0.5820309999980964,-0.00184,0.025600000000000008
16,45292.625,0.625,-0.00184,0.02744000000000001
17,45292.667969,0.6679690000019036,-0.00183,0.02927000000000001
18,45292.707031,0.7070309999980964,-0.00183,0.03110000000000001
19,45292.75,0.75,-0.00182,0.03292000000000001
20,45292.792969,0.7929690000019036,-0.00181,0.03473000000000001
21,45292.832031,0.8320309999980964,-0.0018,0.036530000000000014
22,45292.875,0.875,-2.51621,2.55274
23,45292.917969,0.9179690000019036,-3.25355,5.806290000000001
24,45292.957031,0.9570309999980964,-2.01719,7.82348
25,45293.0,1.0,-1.39099,9.21447
26,45293.042969,1.0429690000019036,-1.03836,10.25283
27,45293.082031,1.0820309999980964,-0.82287,11.0757
28,45293.125,1.125,-0.66443,11.740129999999999
29,45293.167969,1.1679690000019036,-0.56721,12.307339999999998
30,45293.207031,1.2070309999980964,-0.47892,12.786259999999999
31,45293.25,1.25,-0.41658,13.202839999999998
32,45293.292969,1.2929690000019036,-0.37303,13.575869999999998
33,45293.332031,1.3320309999980964,-0.33164,13.907509999999998
34,45293.375,1.375,-0.29432,14.20183
35,45293.417969,1.4179690000019036,-0.26784,14.469669999999999
36,45293.457031,1.4570309999980964,-0.24831,14.717979999999999
37,45293.5,1.5,-0.22903,14.947009999999999
38,45293.542969,1.5429690000019036,-0.21085,15.15786
39,45293.582031,1.5820309999980964,-0.19387,15.35173
40,45293.625,1.625,-0.17828,15.53001
41,45293.667969,1.6679690000019036,-0.1672,15.69721
42,45293.707031,1.7070309999980964,-0.15897,15.85618
43,45293.75,1.75,-0.1507,16.00688
44,45293.792969,1.7929690000019036,-0.14265,16.14953
45,45293.832031,1.8320309999980964,-0.13489,16.284419999999997
46,45293.875,1.875,-0.12746,16.411879999999996
47,45293.917969,1.9179690000019036,-0.12036,16.532239999999998
48,45293.957031,1.9570309999980964,-0.11361,16.64585
49,45294.0,2.0,-0.10724,16.75309
50,45294.042969,2.0429690000019036,-0.10206,16.855150000000002
51,45294.082031,2.0820309999980964,-0.09872,16.953870000000002
52,45294.125,2.125,-0.0954,17.049270000000003
53,45294.167969,2.1679690000019036,-0.09209,17.141360000000002
54,45294.207031,2.2070309999980964,-0.08883,17.230190000000004
55,45294.25,2.25,-0.08563,17.315820000000002
56,45294.292969,2.2929690000019036,-0.08251,17.39833
57,45294.332031,2.3320309999980964,-0.07947,17.477800000000002
58,45294.375,2.375,-0.07651,17.55431
59,45294.417969,2.4179690000019036,-0.07363,17.627940000000002
60,45294.457031,2.4570309999980964,-0.07085,17.698790000000002
61,45294.5,2.5,-0.06815,17.76694
62,45294.542969,2.5429690000019036,-0.06554,17.83248
63,45294.582031,2.5820309999980964,-0.06303,17.89551
64,45294.625,2.625,-0.06071,17.956220000000002
65,45294.667969,2.6679690000019036,-0.05914,18.01536
66,45294.707031,2.7070309999980964,-0.05789,18.07325
67,45294.75,2.75,-0.05661,18.12986
68,45294.792969,2.7929690000019036,-0.05533,18.185190000000002
69,45294.832031,2.8320309999980964,-0.05405,18.239240000000002
70,45294.875,2.875,-0.05279,18.292030000000004
71,45294.917969,2.9179690000019036,-0.05154,18.343570000000003
72,45294.957031,2.9570309999980964,-0.0503,18.393870000000003
73,45295.0,3.0,-0.04908,18.442950000000003
74,45295.042969,3.0429690000019036,-0.04788,18.490830000000003
75,45295.082031,3.0820309999980964,-0.0467,18.537530000000004
76,45295.125,3.125,-0.04554,18.583070000000003
77,45295.167969,3.1679690000019036,-0.04441,18.627480000000002
78,45295.207031,3.2070309999980964,-0.04329,18.67077
79,45295.25,3.25,-0.04219,18.712960000000002
80,45295.292969,3.2929690000019036,-0.04111,18.754070000000002
81,45295.332031,3.3320309999980964,-0.04006,18.794130000000003
82,45295.375,3.375,-0.03902,18.833150000000003
83,45295.417969,3.4179690000019036,-0.03801,18.871160000000003
84,45295.457031,3.4570309999980964,-0.03702,18.90818
85,45295.5,3.5,-0.03606,18.94424
86,45295.542969,3.5429690000019036,-0.03513,18.97937
87,45295.582031,3.5820309999980964,-0.03435,19.01372
88,45295.625,3.625,-0.03385,19.04757
89,45295.667969,3.6679690000019036,-0.03337,19.080940000000002
90,45295.707031,3.7070309999980964,-0.03289,19.11383
91,45295.75,3.75,-0.0324,19.14623
92,45295.792969,3.7929690000019036,-0.03191,19.17814
93,45295.832031,3.8320309999980964,-0.03143,19.20957
94,45295.875,3.875,-0.03094,19.24051
95,45295.917969,3.9179690000019036,-0.03046,19.270970000000002
96,45295.957031,3.9570309999980964,-0.02998,19.30095
97,45296.0,4.0,-0.0295,19.33045
98,45296.042969,4.042969000001904,-0.02903,19.359479999999998
99,45296.082031,4.082030999998096,-0.02856,19.388039999999997
100,45296.125,4.125,-0.0281,19.416139999999995
101,45296.167969,4.167969000001904,-0.02764,19.443779999999997
102,45296.207031,4.207030999998096,-0.02718,19.470959999999998
103,45296.25,4.25,-0.02673,19.49769
104,45296.292969,4.292969000001904,-0.02628,19.52397
105,45296.332031,4.332030999998096,-0.02584,19.549809999999997
106,45296.375,4.375,-0.0254,19.57521
107,45296.417969,4.417969000001904,-0.02497,19.600179999999998
108,45296.457031,4.457030999998096,-0.02454,19.624719999999996
109,45296.5,4.5,-0.02411,19.648829999999997
110,45296.542969,4.542969000001904,-0.0237,19.67253
111,45296.582031,4.582030999998096,-0.02328,19.695809999999998
112,45296.625,4.625,-0.02287,19.71868
113,45296.667969,4.667969000001904,-0.02247,19.741149999999998
114,45296.707031,4.707030999998096,-0.02207,19.763219999999997
115,45296.75,4.75,-0.02168,19.784899999999997
116,45296.792969,4.792969000001904,-0.02129,19.806189999999997
117,45296.832031,4.832030999998096,-0.02091,19.827099999999998
118,45296.875,4.875,-0.02053,19.84763
119,45296.917969,4.917969000001904,-0.02016,19.86779
120,45296.957031,4.957030999998096,-0.01981,19.8876
121,45297.0,5.0,-0.01947,19.907069999999997
122,45297.042969,5.042969000001904,-0.01925,19.926319999999997
123,45297.082031,5.082030999998096,-0.01907,19.945389999999996
124,45297.125,5.125,-0.01889,19.964279999999995
125,45297.167969,5.167969000001904,-0.0187,19.982979999999994
126,45297.207031,5.207030999998096,-0.01852,20.001499999999993
127,45297.25,5.25,-0.01833,20.019829999999992
128,45297.292969,5.292969000001904,-0.01814,20.03796999999999
129,45297.332031,5.332030999998096,-0.01796,20.05592999999999
130,45297.375,5.375,-0.01777,20.073699999999988
131,45297.417969,5.417969000001904,-0.01758,20.091279999999987
132,45297.457031,5.457030999998096,-0.0174,20.108679999999985
133,45297.5,5.5,-0.01721,20.125889999999984
134,45297.542969,5.542969000001904,-0.01703,20.142919999999982
135,45297.582031,5.582030999998096,-0.01684,20.15975999999998
136,45297.625,5.625,-0.01666,20.176419999999982
137,45297.667969,5.667969000001904,-0.01648,20.192899999999984
138,45297.707031,5.707030999998096,-0.01629,20.209189999999985
139,45297.75,5.75,-0.01611,20.225299999999987
140,45297.792969,5.792969000001904,-0.01593,20.241229999999987
141,45297.832031,5.832030999998096,-0.01575,20.256979999999988
142,45297.875,5.875,-0.01557,20.27254999999999
143,45297.917969,5.917969000001904,-0.0154,20.287949999999988
144,45297.957031,5.957030999998096,-0.01522,20.303169999999987
145,45298.0,6.0,-0.01505,20.318219999999986
146,45298.042969,6.042969000001904,-0.01487,20.333089999999984
147,45298.082031,6.082030999998096,-0.0147,20.347789999999986
148,45298.125,6.125,-0.01453,20.362319999999986
149,45298.167969,6.167969000001904,-0.01435,20.376669999999987
150,45298.207031,6.207030999998096,-0.01418,20.390849999999986
151,45298.25,6.25,-0.01402,20.404869999999985
152,45298.292969,6.292969000001904,-0.01385,20.418719999999986
153,45298.332031,6.332030999998096,-0.01368,20.432399999999987
154,45298.375,6.375,-0.01352,20.445919999999987
155,45298.417969,6.417969000001904,-0.01335,20.459269999999986
156,45298.457031,6.457030999998096,-0.01319,20.472459999999987
157,45298.5,6.5,-0.01303,20.485489999999988
158,45298.542969,6.542969000001904,-0.01287,20.498359999999987
159,45298.582031,6.582030999998096,-0.01271,20.511069999999986
160,45298.625,6.625,-0.01255,20.523619999999987
161,45298.667969,6.667969000001904,-0.01239,20.536009999999987
162,45298.707031,6.707030999998096,-0.01223,20.548239999999986
163,45298.75,6.75,-0.01208,20.560319999999987
164,45298.792969,6.792969000001904,-0.01192,20.572239999999987
165,45298.832031,6.832030999998096,-0.01177,20.584009999999985
166,45298.875,6.875,-0.01162,20.595629999999986
167,45298.917969,6.917969000001904,-0.01147,20.607099999999985
168,45298.957031,6.957030999998096,-0.01133,20.618429999999986
169,45299.0,7.0,-0.01118,20.629609999999985
170,45299.042969,7.042969000001904,-0.01104,20.640649999999987
171,45299.082031,7.082030999998096,-0.0109,20.651549999999986
172,45299.125,7.125,-0.01078,20.662329999999987
173,45299.167969,7.167969000001904,-0.01071,20.673039999999986
174,45299.207031,7.207030999998096,-0.01064,20.683679999999985
175,45299.25,7.25,-0.01057,20.694249999999986
176,45299.292969,7.292969000001904,-0.0105,20.704749999999986
177,45299.332031,7.332030999998096,-0.01043,20.715179999999986
178,45299.375,7.375,-0.01035,20.725529999999985
179,45299.417969,7.417969000001904,-0.01028,20.735809999999987
180,45299.457031,7.457030999998096,-0.01021,20.746019999999987
181,45299.5,7.5,-0.01013,20.756149999999987
182,45299.542969,7.542969000001904,-0.01006,20.766209999999987
183,45299.582031,7.582030999998096,-0.00999,20.776199999999985
184,45299.625,7.625,-0.00991,20.786109999999987
185,45299.667969,7.667969000001904,-0.00984,20.795949999999987
186,45299.707031,7.707030999998096,-0.00977,20.805719999999987
187,45299.75,7.75,-0.00969,20.815409999999986
188,45299.792969,7.792969000001904,-0.00962,20.825029999999987
189,45299.832031,7.832030999998096,-0.00955,20.83457999999999
190,45299.875,7.875,-0.00948,20.84405999999999
191,45299.917969,7.917969000001904,-0.0094,20.853459999999988
192,45299.957031,7.957030999998096,-0.00933,20.862789999999986
193,45300.0,8.0,-0.00926,20.872049999999987
194,45300.042969,8.042969000001904,-0.00918,20.881229999999988
195,45300.082031,8.082030999998096,-0.00911,20.890339999999988
196,45300.125,8.125,-0.00904,20.899379999999987
197,45300.167969,8.167969000001904,-0.00897,20.908349999999988
198,45300.207031,8.207030999998096,-0.0089,20.91724999999999
199,45300.25,8.25,-0.00883,20.92607999999999
200,45300.292969,8.292969000001904,-0.00875,20.934829999999987
