step,date_serial,day,N_Leach_step,cum_NO3N_leached_kgNha
1,45292.0,0.0,0.0,0.0
2,45292.042969,0.04296900000190362,-0.0018,0.0018
3,45292.082031,0.08203099999809638,-0.0018,0.0036
4,45292.125,0.125,-0.0018,0.0054
5,45292.167969,0.16796900000190362,-0.0018,0.0072
6,45292.207031,0.20703099999809638,-0.0018,0.009
7,45292.25,0.25,-0.0018,0.010799999999999999
8,45292.292969,0.2929690000019036,-0.0018,0.012599999999999998
9,45292.332031,0.3320309999980964,-0.00179,0.014389999999999998
10,45292.375,0.375,-0.00179,0.01618
11,45292.417969,0.4179690000019036,-0.00179,0.01797
12,45292.457031,0.4570309999980964,-0.00179,0.01976
13,45292.5,0.5,-0.00178,0.02154
14,45292.542969,0.5429690000019036,-0.00178,0.02332
15,45292.582031,0.5820309999980964,-0.00177,0.02509
16,45292.625,0.625,-0.00176,0.026850000000000002
17,45292.667969,0.6679690000019036,-0.00175,0.028600000000000004
18,45292.707031,0.7070309999980964,-0.00174,0.030340000000000002
19,45292.75,0.75,-0.00173,0.03207
20,45292.792969,0.7929690000019036,-0.00172,0.03379
21,45292.832031,0.8320309999980964,-0.00171,0.035500000000000004
22,45292.875,0.875,-2.37706,2.41256
23,45292.917969,0.9179690000019036,-3.06669,5.47925
24,45292.957031,0.9570309999980964,-1.89651,7.3757600000000005
25,45293.0,1.0,-1.30481,8.680570000000001
26,45293.042969,1.0429690000019036,-0.972,9.65257
27,45293.082031,1.0820309999980964,-0.76871,10.421280000000001
28,45293.125,1.125,-0.61948,11.04076
29,45293.167969,1.1679690000019036,-0.52777,11.56853
30,45293.207031,1.2070309999980964,-0.44478,12.01331
31,45293.25,1.25,-0.38614,12.39945
32,45293.292969,1.2929690000019036,-0.34511,12.74456
33,45293.332031,1.3320309999980964,-0.30624,13.0508
34,45293.375,1.375,-0.27127,13.32207
35,45293.417969,1.4179690000019036,-0.24641,13.56848
36,45293.457031,1.4570309999980964,-0.22802,13.7965
37,45293.5,1.5,-0.20993,14.00643
38,45293.542969,1.5429690000019036,-0.19292,14.19935
39,45293.582031,1.5820309999980964,-0.17707,14.376420000000001
40,45293.625,1.625,-0.16253,14.538950000000002
41,45293.667969,1.6679690000019036,-0.15217,14.691120000000002
42,45293.707031,1.7070309999980964,-0.14442,14.835540000000002
43,45293.75,1.75,-0.13667,14.972210000000002
44,45293.792969,1.7929690000019036,-0.12915,15.101360000000001
45,45293.832031,1.8320309999980964,-0.12192,15.22328
46,45293.875,1.875,-0.115,15.338280000000001
47,45293.917969,1.9179690000019036,-0.10842,15.446700000000002
48,45293.957031,1.9570309999980964,-0.10217,15.54887
49,45294.0,2.0,-0.09629,15.64516
50,45294.042969,2.0429690000019036,-0.09149,15.736650000000001
51,45294.082031,2.0820309999980964,-0.08836,15.82501
52,45294.125,2.125,-0.08526,15.91027
53,45294.167969,2.1679690000019036,-0.08217,15.99244
54,45294.207031,2.2070309999980964,-0.07914,16.07158
55,45294.25,2.25,-0.07618,16.14776
56,45294.292969,2.2929690000019036,-0.07329,16.22105
57,45294.332031,2.3320309999980964,-0.07049,16.29154
58,45294.375,2.375,-0.06776,16.3593
59,45294.417969,2.4179690000019036,-0.06513,16.42443
60,45294.457031,2.4570309999980964,-0.06257,16.487000000000002
61,45294.5,2.5,-0.06011,16.547110000000004
62,45294.542969,2.5429690000019036,-0.05773,16.604840000000003
63,45294.582031,2.5820309999980964,-0.05545,16.660290000000003
64,45294.625,2.625,-0.05333,16.713620000000002
65,45294.667969,2.6679690000019036,-0.05189,16.765510000000003
66,45294.707031,2.7070309999980964,-0.05072,16.81623
67,45294.75,2.75,-0.04954,16.86577
68,45294.792969,2.7929690000019036,-0.04836,16.91413
69,45294.832031,2.8320309999980964,-0.04719,16.96132
70,45294.875,2.875,-0.04603,17.00735
71,45294.917969,2.9179690000019036,-0.04489,17.052239999999998
72,45294.957031,2.9570309999980964,-0.04376,17.095999999999997
73,45295.0,3.0,-0.04265,17.138649999999995
74,45295.042969,3.0429690000019036,-0.04156,17.180209999999995
75,45295.082031,3.0820309999980964,-0.04049,17.220699999999994
76,45295.125,3.125,-0.03944,17.260139999999993
77,45295.167969,3.1679690000019036,-0.03841,17.29854999999999
78,45295.207031,3.2070309999980964,-0.03741,17.335959999999993
79,45295.25,3.25,-0.03642,17.372379999999993
80,45295.292969,3.2929690000019036,-0.03545,17.407829999999993
81,45295.332031,3.3320309999980964,-0.03451,17.442339999999994
82,45295.375,3.375,-0.03358,17.475919999999995
83,45295.417969,3.4179690000019036,-0.03268,17.508599999999994
84,45295.457031,3.4570309999980964,-0.03179,17.540389999999995
85,45295.5,3.5,-0.03094,17.571329999999996
86,45295.542969,3.5429690000019036,-0.03012,17.601449999999996
87,45295.582031,3.5820309999980964,-0.02942,17.630869999999994
88,45295.625,3.625,-0.02896,17.659829999999996
89,45295.667969,3.6679690000019036,-0.02853,17.688359999999996
90,45295.707031,3.7070309999980964,-0.02809,17.716449999999995
91,45295.75,3.75,-0.02765,17.744099999999996
92,45295.792969,3.7929690000019036,-0.02721,17.771309999999996
93,45295.832031,3.8320309999980964,-0.02677,17.798079999999995
94,45295.875,3.875,-0.02634,17.824419999999996
95,45295.917969,3.9179690000019036,-0.02591,17.850329999999996
96,45295.957031,3.9570309999980964,-0.02548,17.875809999999998
97,45296.0,4.0,-0.02505,17.900859999999998
98,45296.042969,4.042969000001904,-0.02463,17.925489999999996
99,45296.082031,4.082030999998096,-0.02421,17.949699999999996
100,45296.125,4.125,-0.0238,17.973499999999998
101,45296.167969,4.167969000001904,-0.02339,17.996889999999997
102,45296.207031,4.207030999998096,-0.02299,18.019879999999997
103,45296.25,4.25,-0.02259,18.042469999999998
104,45296.292969,4.292969000001904,-0.0222,18.06467
105,45296.332031,4.332030999998096,-0.02181,18.086479999999998
106,45296.375,4.375,-0.02142,18.107899999999997
107,45296.417969,4.417969000001904,-0.02104,18.128939999999997
108,45296.457031,4.457030999998096,-0.02067,18.149609999999996
109,45296.5,4.5,-0.02029,18.169899999999995
110,45296.542969,4.542969000001904,-0.01993,18.189829999999994
111,45296.582031,4.582030999998096,-0.01957,18.209399999999995
112,45296.625,4.625,-0.01921,18.228609999999996
113,45296.667969,4.667969000001904,-0.01886,18.247469999999996
114,45296.707031,4.707030999998096,-0.01851,18.265979999999995
115,45296.75,4.75,-0.01817,18.284149999999997
116,45296.792969,4.792969000001904,-0.01783,18.301979999999997
117,45296.832031,4.832030999998096,-0.0175,18.319479999999995
118,45296.875,4.875,-0.01718,18.336659999999995
119,45296.917969,4.917969000001904,-0.01686,18.353519999999996
120,45296.957031,4.957030999998096,-0.01655,18.370069999999995
121,45297.0,5.0,-0.01626,18.386329999999994
122,45297.042969,5.042969000001904,-0.01607,18.402399999999993
123,45297.082031,5.082030999998096,-0.01591,18.418309999999995
124,45297.125,5.125,-0.01574,18.434049999999996
125,45297.167969,5.167969000001904,-0.01558,18.449629999999996
126,45297.207031,5.207030999998096,-0.01542,18.465049999999994
127,45297.25,5.25,-0.01526,18.480309999999996
128,45297.292969,5.292969000001904,-0.01509,18.495399999999997
129,45297.332031,5.332030999998096,-0.01493,18.510329999999996
130,45297.375,5.375,-0.01477,18.525099999999995
131,45297.417969,5.417969000001904,-0.0146,18.539699999999996
132,45297.457031,5.457030999998096,-0.01444,18.554139999999997
133,45297.5,5.5,-0.01428,18.568419999999996
134,45297.542969,5.542969000001904,-0.01412,18.582539999999995
135,45297.582031,5.582030999998096,-0.01396,18.596499999999995
136,45297.625,5.625,-0.0138,18.610299999999995
137,45297.667969,5.667969000001904,-0.01364,18.623939999999994
138,45297.707031,5.707030999998096,-0.01348,18.637419999999995
139,45297.75,5.75,-0.01333,18.650749999999995
140,45297.792969,5.792969000001904,-0.01317,18.663919999999994
141,45297.832031,5.832030999998096,-0.01302,18.676939999999995
142,45297.875,5.875,-0.01286,18.689799999999995
143,45297.917969,5.917969000001904,-0.01271,18.702509999999993
144,45297.957031,5.957030999998096,-0.01256,18.715069999999994
145,45298.0,6.0,-0.01241,18.727479999999993
146,45298.042969,6.042969000001904,-0.01226,18.739739999999994
147,45298.082031,6.082030999998096,-0.01211,18.751849999999994
148,45298.125,6.125,-0.01196,18.763809999999992
149,45298.167969,6.167969000001904,-0.01182,18.775629999999992
150,45298.207031,6.207030999998096,-0.01167,18.78729999999999
151,45298.25,6.25,-0.01153,18.79882999999999
152,45298.292969,6.292969000001904,-0.01139,18.81021999999999
153,45298.332031,6.332030999998096,-0.01124,18.82145999999999
154,45298.375,6.375,-0.0111,18.83255999999999
155,45298.417969,6.417969000001904,-0.01096,18.84351999999999
156,45298.457031,6.457030999998096,-0.01082,18.85433999999999
157,45298.5,6.5,-0.01069,18.86502999999999
158,45298.542969,6.542969000001904,-0.01055,18.87557999999999
159,45298.582031,6.582030999998096,-0.01041,18.88598999999999
160,45298.625,6.625,-0.01028,18.89626999999999
161,45298.667969,6.667969000001904,-0.01015,18.90641999999999
162,45298.707031,6.707030999998096,-0.01002,18.91643999999999
163,45298.75,6.75,-0.00988,18.92631999999999
164,45298.792969,6.792969000001904,-0.00975,18.93606999999999
165,45298.832031,6.832030999998096,-0.00963,18.94569999999999
166,45298.875,6.875,-0.0095,18.95519999999999
167,45298.917969,6.917969000001904,-0.00937,18.96456999999999
168,45298.957031,6.957030999998096,-0.00925,18.973819999999993
169,45299.0,7.0,-0.00913,18.98294999999999
170,45299.042969,7.042969000001904,-0.00901,18.99195999999999
171,45299.082031,7.082030999998096,-0.00889,19.000849999999993
172,45299.125,7.125,-0.00879,19.009639999999994
173,45299.167969,7.167969000001904,-0.00873,19.018369999999994
174,45299.207031,7.207030999998096,-0.00867,19.027039999999992
175,45299.25,7.25,-0.00861,19.035649999999993
176,45299.292969,7.292969000001904,-0.00855,19.044199999999993
177,45299.332031,7.332030999998096,-0.00848,19.05267999999999
178,45299.375,7.375,-0.00842,19.061099999999993
179,45299.417969,7.417969000001904,-0.00836,19.069459999999992
180,45299.457031,7.457030999998096,-0.0083,19.07775999999999
181,45299.5,7.5,-0.00823,19.085989999999992
182,45299.542969,7.542969000001904,-0.00817,19.09415999999999
183,45299.582031,7.582030999998096,-0.00811,19.10226999999999
184,45299.625,7.625,-0.00805,19.11031999999999
185,45299.667969,7.667969000001904,-0.00798,19.11829999999999
186,45299.707031,7.707030999998096,-0.00792,19.12621999999999
187,45299.75,7.75,-0.00786,19.13407999999999
188,45299.792969,7.792969000001904,-0.0078,19.14187999999999
189,45299.832031,7.832030999998096,-0.00773,19.14960999999999
190,45299.875,7.875,-0.00767,19.15727999999999
191,45299.917969,7.917969000001904,-0.00761,19.16488999999999
192,45299.957031,7.957030999998096,-0.00755,19.172439999999987
193,45300.0,8.0,-0.00749,19.179929999999988
194,45300.042969,8.042969000001904,-0.00743,19.187359999999988
195,45300.082031,8.082030999998096,-0.00737,19.19472999999999
196,45300.125,8.125,-0.0073,19.20202999999999
197,45300.167969,8.167969000001904,-0.00724,19.20926999999999
198,45300.207031,8.207030999998096,-0.00718,19.21644999999999
199,45300.25,8.25,-0.00712,19.22356999999999
