TIME_S,dk_MINERALIZATION_LAYER_1,dk_NITRIFICATION_LAYER_1,dk_DENITRIFICATION_LAYER_1,dk_MINERALIZATION_LAYER_2,dk_NITRIFICATION_LAYER_2,dk_DENITRIFICATION_LAYER_2,dk_MINERALIZATION_LAYER_3,dk_NITRIFICATION_LAYER_3,dk_DENITRIFICATION_LAYER_3,dk_MINERALIZATION_LAYER_4,dk_NITRIFICATION_LAYER_4,dk_DENITRIFICATION_LAYER_4,dk_MINERALIZATION_LAYER_5,dk_NITRIFICATION_LAYER_5,dk_DENITRIFICATION_LAYER_5,dk_MINERALIZATION_LAYER_6,dk_NITRIFICATION_LAYER_6,dk_DENITRIFICATION_LAYER_6,dk_MINERALIZATION_LAYER_7,dk_NITRIFICATION_LAYER_7,dk_DENITRIFICATION_LAYER_7,dk_MINERALIZATION_LAYER_8,dk_NITRIFICATION_LAYER_8,dk_DENITRIFICATION_LAYER_8,d[H2O],d[H],d[O],d[Charge],d[[AMMONIUM]],d[[NITRATE]],d[[NITROUS_GAS]],d[[ORGANIC_N]],d[[THETA_VMC]]
  0.86400000E+01, -0.34650504E-09, -0.26146590E-09, -0.63504000E-09, -0.13439520E-09, -0.84054175E-10, -0.26040958E-10, -0.59659200E-10, -0.65614880E-10, -0.42958082E-10, -0.16441920E-10, -0.98124991E-10, -0.76334383E-11, -0.94305619E-11, -0.48053095E-10, -0.91454400E-11,  0.00000000E+00, -0.61001848E-10, -0.13201917E-10,  0.00000000E+00, -0.85463869E-10, -0.42841442E-10, -0.37732175E-10, -0.10278775E-09, -0.33061824E-09,  0.37544867E-12, -0.75242156E-12, -0.37550000E-12, -0.10405694E-21, -0.20239260E-09, -0.30090734E-09,  0.55373976E-09, -0.60416405E-09, -0.24247965E-18
  0.19863000E+02, -0.45009561E-09, -0.33963778E-09, -0.82489050E-09, -0.17457377E-09, -0.10918551E-09, -0.33826120E-10, -0.77494816E-10, -0.85230678E-10, -0.55800758E-10, -0.21357371E-10, -0.12745599E-09, -0.99155184E-11, -0.12249907E-10, -0.62416944E-10, -0.11879547E-10,  0.00000000E+00, -0.79235657E-10, -0.17148744E-10,  0.00000000E+00, -0.11100952E-09, -0.55649246E-10, -0.49012524E-10, -0.13351359E-09, -0.42945932E-09,  0.47693321E-12, -0.95653675E-12, -0.47662832E-12, -0.15593420E-21, -0.26290169E-09, -0.39088408E-09,  0.71928487E-09, -0.78478399E-09, -0.23897030E-17
  0.34475805E+02, -0.58604269E-09, -0.44223291E-09, -0.10740408E-08, -0.22730210E-09, -0.14217033E-09, -0.44042980E-10, -0.10090138E-09, -0.11097304E-09, -0.72654843E-10, -0.27808156E-10, -0.16594250E-09, -0.12910406E-10, -0.15949869E-10, -0.81264490E-10, -0.15467649E-10,  0.00000000E+00, -0.10316030E-09, -0.22328356E-10,  0.00000000E+00, -0.14452806E-09, -0.72457568E-10, -0.63816291E-10, -0.17383184E-09, -0.55917340E-09,  0.60479305E-12, -0.12116315E-11, -0.60466004E-12, -0.24267254E-21, -0.34228297E-09, -0.50897254E-09,  0.93653802E-09, -0.10218205E-08, -0.18950119E-18
  0.53441360E+02, -0.76061064E-09, -0.57398163E-09, -0.13939716E-08, -0.29500991E-09, -0.18453022E-09, -0.57162319E-10, -0.13095747E-09, -0.14402795E-09, -0.94296965E-10, -0.36091535E-10, -0.21535526E-09, -0.16756108E-10, -0.20700952E-10, -0.10546294E-09, -0.20075086E-10,  0.00000000E+00, -0.13387619E-09, -0.28979436E-10,  0.00000000E+00, -0.18756116E-09, -0.94040925E-10, -0.82825622E-10, -0.22559821E-09, -0.72573765E-09,  0.76774596E-12, -0.15372857E-11, -0.76754938E-12, -0.29920264E-21, -0.44419743E-09, -0.66062652E-09,  0.12155100E-08, -0.13261961E-08, -0.26782916E-17
  0.78070240E+02, -0.98773587E-09, -0.74540844E-09, -0.18102241E-08, -0.38310254E-09, -0.23965080E-09, -0.74231504E-10, -0.17006255E-09, -0.18703385E-09, -0.12245489E-09, -0.46868798E-10, -0.27963280E-09, -0.21759633E-10, -0.26882446E-10, -0.13694119E-09, -0.26069691E-10,  0.00000000E+00, -0.17383081E-09, -0.37632958E-10,  0.00000000E+00, -0.24353777E-09, -0.12212240E-09, -0.10755810E-09, -0.29294040E-09, -0.94244949E-09,  0.97166133E-12, -0.19451739E-11, -0.97174896E-12, -0.38436765E-21, -0.57676573E-09, -0.85796867E-09,  0.15784724E-08, -0.17222103E-08, -0.21276384E-17
  0.11008778E+03, -0.12840538E-08, -0.96908069E-09, -0.23532862E-08, -0.49803221E-09, -0.31157604E-09, -0.96500746E-10, -0.22108084E-09, -0.24313984E-09, -0.15919101E-09, -0.60929300E-10, -0.36347207E-09, -0.28287461E-10, -0.34947101E-10, -0.17799962E-09, -0.33890524E-10,  0.00000000E+00, -0.22594238E-09, -0.48922738E-10,  0.00000000E+00, -0.31654632E-09, -0.15875877E-09, -0.13982523E-09, -0.38078203E-09, -0.12251817E-08,  0.12312707E-11, -0.24637933E-11, -0.12313831E-11, -0.48339547E-21, -0.74967046E-09, -0.11154802E-08,  0.20520096E-08, -0.22388685E-08, -0.11548922E-17
  0.15163436E+03, -0.16662160E-08, -0.12575875E-08, -0.30536751E-08, -0.64625736E-09, -0.40435955E-09, -0.12522145E-09, -0.28687927E-09, -0.31549739E-09, -0.20656969E-09, -0.79063178E-10, -0.47156525E-09, -0.36706421E-10, -0.45348114E-10, -0.23093645E-09, -0.43977078E-10,  0.00000000E+00, -0.29312501E-09, -0.63483202E-10,  0.00000000E+00, -0.41066950E-09, -0.20600882E-09, -0.18144023E-09, -0.49404413E-09, -0.15898222E-08,  0.15589406E-11, -0.31200103E-11, -0.15590741E-11, -0.62281745E-21, -0.97258055E-09, -0.14476792E-08,  0.26627320E-08, -0.29052042E-08, -0.93336797E-18
  0.20551507E+03, -0.21608720E-08, -0.16310794E-08, -0.39602314E-08, -0.83811429E-09, -0.52449039E-09, -0.16239643E-09, -0.37204623E-09, -0.40915002E-09, -0.26789484E-09, -0.10253497E-09, -0.61141938E-09, -0.47603599E-10, -0.58810784E-10, -0.29942865E-09, -0.57032723E-10,  0.00000000E+00, -0.38004066E-09, -0.82329710E-10,  0.00000000E+00, -0.53243874E-09, -0.26716745E-09, -0.23530510E-09, -0.64060041E-09, -0.20617989E-08,  0.19688084E-11, -0.39396091E-11, -0.19564897E-11, -0.91722789E-21, -0.12609643E-08, -0.18778074E-08,  0.34532275E-08, -0.37676834E-08, -0.24754851E-17
  0.27623351E+03, -0.28361437E-08, -0.21410414E-08, -0.51978024E-08, -0.11000247E-08, -0.68854160E-09, -0.21314526E-09, -0.48831055E-09, -0.53699173E-09, -0.35161188E-09, -0.13457712E-09, -0.80224734E-09, -0.62479705E-10, -0.77189133E-10, -0.39288633E-09, -0.74855427E-10,  0.00000000E+00, -0.49862371E-09, -0.10805771E-09,  0.00000000E+00, -0.69857414E-09, -0.35065719E-09, -0.30883786E-09, -0.84059636E-09, -0.27061103E-08,  0.25135174E-11, -0.50289866E-11, -0.25136398E-11, -0.13192310E-20, -0.16544195E-08, -0.24652172E-08,  0.45323599E-08, -0.49450831E-08, -0.32567178E-17
  0.36856036E+03, -0.37027432E-08, -0.27956772E-08, -0.67860198E-08, -0.14361434E-08, -0.89918308E-09, -0.27827298E-09, -0.63751656E-09, -0.70104252E-09, -0.45904885E-09, -0.17569790E-09, -0.10469667E-08, -0.81570728E-10, -0.10077470E-09, -0.51274024E-09, -0.97727920E-10,  0.00000000E+00, -0.65067345E-09, -0.14107535E-09,  0.00000000E+00, -0.91159653E-09, -0.45780244E-09, -0.40320498E-09, -0.10971173E-08, -0.35329773E-08,  0.31868502E-11, -0.63752343E-11, -0.31870366E-11, -0.20685279E-20, -0.21589162E-08, -0.32194984E-08,  0.59172477E-08, -0.64560807E-08, -0.25453598E-17
