step,date_serial,day,N_Leach_step,cum_NO3N_leached_kgNha
1,45292.0,0.0,0.0,0.0
2,45292.042969,0.04296900000190362,-0.00179,0.00179
3,45292.082031,0.08203099999809638,-0.00177,0.00356
4,45292.125,0.125,-0.00176,0.00532
5,45292.167969,0.16796900000190362,-0.00175,0.00707
6,45292.207031,0.20703099999809638,-0.00173,0.0088
7,45292.25,0.25,-0.00172,0.01052
8,45292.292969,0.2929690000019036,-0.0017,0.01222
9,45292.332031,0.3320309999980964,-0.00169,0.01391
10,45292.375,0.375,-0.00167,0.01558
11,45292.417969,0.4179690000019036,-0.00165,0.01723
12,45292.457031,0.4570309999980964,-0.00164,0.018869999999999998
13,45292.5,0.5,-0.00162,0.020489999999999998
14,45292.542969,0.5429690000019036,-0.0016,0.02209
15,45292.582031,0.5820309999980964,-0.00158,0.02367
16,45292.625,0.625,-0.00156,0.02523
17,45292.667969,0.6679690000019036,-0.00153,0.02676
18,45292.707031,0.7070309999980964,-0.00151,0.02827
19,45292.75,0.75,-0.00149,0.02976
20,45292.792969,0.7929690000019036,-0.00147,0.03123
21,45292.832031,0.8320309999980964,-0.00144,0.03267
22,45292.875,0.875,-2.24673,2.2794
23,45292.917969,0.9179690000019036,-2.93611,5.21551
24,45292.957031,0.9570309999980964,-1.82223,7.03774
25,45293.0,1.0,-1.25271,8.29045
26,45293.042969,1.0429690000019036,-0.93083,9.22128
27,45293.082031,1.0820309999980964,-0.73358,9.95486
28,45293.125,1.125,-0.58878,10.54364
29,45293.167969,1.1679690000019036,-0.49927,11.04291
30,45293.207031,1.2070309999980964,-0.4187,11.461609999999999
31,45293.25,1.25,-0.36156,11.82317
32,45293.292969,1.2929690000019036,-0.32133,12.144499999999999
33,45293.332031,1.3320309999980964,-0.28347,12.427969999999998
34,45293.375,1.375,-0.24956,12.677529999999999
35,45293.417969,1.4179690000019036,-0.22522,12.90275
36,45293.457031,1.4570309999980964,-0.20704,13.109789999999998
37,45293.5,1.5,-0.18932,13.299109999999999
38,45293.542969,1.5429690000019036,-0.17274,13.471849999999998
39,45293.582031,1.5820309999980964,-0.15737,13.629219999999998
40,45293.625,1.625,-0.14335,13.772569999999998
41,45293.667969,1.6679690000019036,-0.13314,13.905709999999997
42,45293.707031,1.7070309999980964,-0.12534,14.031049999999997
43,45293.75,1.75,-0.11763,14.148679999999997
44,45293.792969,1.7929690000019036,-0.11021,14.258889999999997
45,45293.832031,1.8320309999980964,-0.10313,14.362019999999998
46,45293.875,1.875,-0.0964,14.458419999999997
47,45293.917969,1.9179690000019036,-0.09004,14.548459999999997
48,45293.957031,1.9570309999980964,-0.08403,14.632489999999997
49,45294.0,2.0,-0.07841,14.710899999999997
50,45294.042969,2.0429690000019036,-0.07374,14.784639999999998
51,45294.082031,2.0820309999980964,-0.07047,14.855109999999998
52,45294.125,2.125,-0.06728,14.922389999999998
53,45294.167969,2.1679690000019036,-0.06414,14.986529999999998
54,45294.207031,2.2070309999980964,-0.06109,15.047619999999998
55,45294.25,2.25,-0.05814,15.105759999999998
56,45294.292969,2.2929690000019036,-0.05528,15.161039999999998
57,45294.332031,2.3320309999980964,-0.05253,15.213569999999999
58,45294.375,2.375,-0.04988,15.263449999999999
59,45294.417969,2.4179690000019036,-0.04734,15.310789999999999
60,45294.457031,2.4570309999980964,-0.04489,15.35568
61,45294.5,2.5,-0.04255,15.39823
62,45294.542969,2.5429690000019036,-0.0403,15.43853
63,45294.582031,2.5820309999980964,-0.03816,15.47669
64,45294.625,2.625,-0.03617,15.51286
65,45294.667969,2.6679690000019036,-0.03467,15.54753
66,45294.707031,2.7070309999980964,-0.03338,15.58091
67,45294.75,2.75,-0.0321,15.61301
68,45294.792969,2.7929690000019036,-0.03084,15.643849999999999
69,45294.832031,2.8320309999980964,-0.0296,15.673449999999999
70,45294.875,2.875,-0.0284,15.701849999999999
71,45294.917969,2.9179690000019036,-0.02722,15.729069999999998
72,45294.957031,2.9570309999980964,-0.02607,15.755139999999999
73,45295.0,3.0,-0.02496,15.7801
74,45295.042969,3.0429690000019036,-0.02387,15.80397
75,45295.082031,3.0820309999980964,-0.02282,15.826789999999999
76,45295.125,3.125,-0.0218,15.84859
77,45295.167969,3.1679690000019036,-0.0208,15.86939
78,45295.207031,3.2070309999980964,-0.01984,15.88923
79,45295.25,3.25,-0.0189,15.90813
80,45295.292969,3.2929690000019036,-0.018,15.92613
81,45295.332031,3.3320309999980964,-0.01712,15.94325
82,45295.375,3.375,-0.01627,15.959520000000001
83,45295.417969,3.4179690000019036,-0.01545,15.97497
84,45295.457031,3.4570309999980964,-0.01465,15.98962
85,45295.5,3.5,-0.01389,16.003510000000002
86,45295.542969,3.5429690000019036,-0.01315,16.01666
87,45295.582031,3.5820309999980964,-0.01249,16.02915
88,45295.625,3.625,-0.01194,16.04109
89,45295.667969,3.6679690000019036,-0.01141,16.052500000000002
90,45295.707031,3.7070309999980964,-0.01089,16.063390000000002
91,45295.75,3.75,-0.01038,16.073770000000003
92,45295.792969,3.7929690000019036,-0.00987,16.083640000000003
93,45295.832031,3.8320309999980964,-0.00938,16.093020000000003
94,45295.875,3.875,-0.0089,16.101920000000003
95,45295.917969,3.9179690000019036,-0.00843,16.110350000000004
96,45295.957031,3.9570309999980964,-0.00797,16.118320000000004
97,45296.0,4.0,-0.00751,16.125830000000004
98,45296.042969,4.042969000001904,-0.00707,16.132900000000003
99,45296.082031,4.082030999998096,-0.00664,16.139540000000004
100,45296.125,4.125,-0.00622,16.145760000000003
101,45296.167969,4.167969000001904,-0.00581,16.151570000000003
102,45296.207031,4.207030999998096,-0.00541,16.156980000000004
103,45296.25,4.25,-0.00502,16.162000000000003
104,45296.292969,4.292969000001904,-0.00464,16.16664
105,45296.332031,4.332030999998096,-0.00426,16.1709
106,45296.375,4.375,-0.0039,16.1748
107,45296.417969,4.417969000001904,-0.00355,16.178350000000002
108,45296.457031,4.457030999998096,-0.00321,16.18156
109,45296.5,4.5,-0.00287,16.184430000000003
110,45296.542969,4.542969000001904,-0.00255,16.186980000000002
111,45296.582031,4.582030999998096,-0.00223,16.189210000000003
112,45296.625,4.625,-0.00192,16.19113
113,45296.667969,4.667969000001904,-0.00162,16.19275
114,45296.707031,4.707030999998096,-0.00133,16.19408
115,45296.75,4.75,-0.00105,16.19513
116,45296.792969,4.792969000001904,-0.00077,16.195899999999998
117,45296.832031,4.832030999998096,-0.00051,16.196409999999997
118,45296.875,4.875,-0.00035,16.196759999999998
119,45296.917969,4.917969000001904,-0.00035,16.19711
120,45296.957031,4.957030999998096,-0.00034,16.19745
121,45297.0,5.0,-0.00032,16.19777
122,45297.042969,5.042969000001904,-0.00034,16.19811
123,45297.082031,5.082030999998096,-0.00032,16.19843
124,45297.125,5.125,-0.0003,16.198729999999998
125,45297.167969,5.167969000001904,-0.00031,16.199039999999997
126,45297.207031,5.207030999998096,-0.00032,16.199359999999995
127,45297.25,5.25,-0.0003,16.199659999999994
128,45297.292969,5.292969000001904,-0.00031,16.199969999999993
129,45297.332031,5.332030999998096,-0.0003,16.200269999999993
130,45297.375,5.375,-0.00031,16.20057999999999
131,45297.417969,5.417969000001904,-0.0003,16.20087999999999
132,45297.457031,5.457030999998096,-0.0003,16.20117999999999
133,45297.5,5.5,-0.00029,16.20146999999999
134,45297.542969,5.542969000001904,-0.00029,16.20175999999999
135,45297.582031,5.582030999998096,-0.00027,16.20202999999999
136,45297.625,5.625,-0.00027,16.20229999999999
137,45297.667969,5.667969000001904,-0.00029,16.20258999999999
138,45297.707031,5.707030999998096,-0.00027,16.20285999999999
139,45297.75,5.75,-0.00028,16.20313999999999
140,45297.792969,5.792969000001904,-0.00028,16.20341999999999
141,45297.832031,5.832030999998096,-0.00027,16.20368999999999
142,45297.875,5.875,-0.00027,16.20395999999999
143,45297.917969,5.917969000001904,-0.00027,16.204229999999992
144,45297.957031,5.957030999998096,-0.00027,16.204499999999992
145,45298.0,6.0,-0.00027,16.204769999999993
146,45298.042969,6.042969000001904,-0.00027,16.205039999999993
147,45298.082031,6.082030999998096,-0.00026,16.205299999999994
148,45298.125,6.125,-0.00025,16.205549999999995
149,45298.167969,6.167969000001904,-0.00026,16.205809999999996
150,45298.207031,6.207030999998096,-0.00025,16.206059999999997
151,45298.25,6.25,-0.00024,16.2063
152,45298.292969,6.292969000001904,-0.00023,16.206529999999997
153,45298.332031,6.332030999998096,-0.00024,16.20677
154,45298.375,6.375,-0.00022,16.206989999999998
155,45298.417969,6.417969000001904,-0.00024,16.20723
156,45298.457031,6.457030999998096,-0.00024,16.20747
157,45298.5,6.5,-0.00022,16.20769
158,45298.542969,6.542969000001904,-0.00023,16.207919999999998
159,45298.582031,6.582030999998096,-0.00022,16.208139999999997
160,45298.625,6.625,-0.00023,16.208369999999995
161,45298.667969,6.667969000001904,-0.00022,16.208589999999994
162,45298.707031,6.707030999998096,-0.00022,16.208809999999993
163,45298.75,6.75,-0.00021,16.20901999999999
164,45298.792969,6.792969000001904,-0.00021,16.20922999999999
165,45298.832031,6.832030999998096,-0.00021,16.20943999999999
166,45298.875,6.875,-0.00021,16.20964999999999
167,45298.917969,6.917969000001904,-0.00021,16.20985999999999
168,45298.957031,6.957030999998096,-0.00019,16.21004999999999
169,45299.0,7.0,-0.00019,16.210239999999988
170,45299.042969,7.042969000001904,-0.00019,16.210429999999988
171,45299.082031,7.082030999998096,-0.00019,16.210619999999988
172,45299.125,7.125,-0.00019,16.210809999999988
173,45299.167969,7.167969000001904,-0.00019,16.210999999999988
174,45299.207031,7.207030999998096,-0.00017,16.21116999999999
175,45299.25,7.25,-0.00018,16.21134999999999
176,45299.292969,7.292969000001904,-0.00019,16.21153999999999
177,45299.332031,7.332030999998096,-0.00017,16.21170999999999
178,45299.375,7.375,-0.00018,16.21188999999999
179,45299.417969,7.417969000001904,-0.00018,16.21206999999999
180,45299.457031,7.457030999998096,-0.00018,16.21224999999999
181,45299.5,7.5,-0.00017,16.21241999999999
182,45299.542969,7.542969000001904,-0.00018,16.21259999999999
183,45299.582031,7.582030999998096,-0.00018,16.21277999999999
184,45299.625,7.625,-0.00018,16.212959999999992
185,45299.667969,7.667969000001904,-0.00017,16.213129999999992
186,45299.707031,7.707030999998096,-0.00017,16.213299999999993
187,45299.75,7.75,-0.00017,16.213469999999994
188,45299.792969,7.792969000001904,-0.00017,16.213639999999995
189,45299.832031,7.832030999998096,-0.00017,16.213809999999995
190,45299.875,7.875,-0.00017,16.213979999999996
191,45299.917969,7.917969000001904,-0.00016,16.214139999999997
192,45299.957031,7.957030999998096,-0.00016,16.214299999999998
193,45300.0,8.0,-0.00016,16.21446
194,45300.042969,8.042969000001904,-0.00016,16.21462
195,45300.082031,8.082030999998096,-0.00017,16.21479
196,45300.125,8.125,-0.00016,16.21495
197,45300.167969,8.167969000001904,-0.00016,16.215110000000003
198,45300.207031,8.207030999998096,-0.00016,16.215270000000004
199,45300.25,8.25,-0.00015,16.215420000000005
200,45300.292969,8.292969000001904,-0.00016,16.215580000000006
201,45300.332031,8.332030999998096,-0.00015,16.215730000000008
202,45300.375,8.375,-0.00015,16.21588000000001
203,45300.417969,8.417969000001904,-0.00015,16.21603000000001
204,45300.457031,8.457030999998096,-0.00015,16.216180000000012
205,45300.5,8.5,-0.00015,16.216330000000013
206,45300.542969,8.542969000001904,-0.00015,16.216480000000015
207,45300.582031,8.582030999998096,-0.00014,16.216620000000013
208,45300.625,8.625,-0.00014,16.21676000000001
209,45300.667969,8.667969000001904,-0.00014,16.21690000000001
210,45300.707031,8.707030999998096,-0.00015,16.21705000000001
211,45300.75,8.75,-0.00014,16.21719000000001
212,45300.792969,8.792969000001904,-0.00014,16.217330000000008
213,45300.832031,8.832030999998096,-0.21749,16.43482000000001
214,45300.875,8.875,-1.19695,17.63177000000001
215,45300.917969,8.917969000001904,-0.60221,18.23398000000001
216,45300.957031,8.957030999998096,-0.34163,18.575610000000008
217,45301.0,9.0,-0.22401,18.799620000000008
218,45301.042969,9.042969000001904,-0.15989,18.95951000000001
219,45301.082031,9.082030999998096,-0.12054,19.080050000000007
220,45301.125,9.125,-0.0943,19.174350000000008
221,45301.167969,9.167969000001904,-0.07536,19.249710000000007
222,45301.207031,9.207030999998096,-0.06193,19.311640000000008
223,45301.25,9.25,-0.05013,19.361770000000007
224,45301.292969,9.292969000001904,-0.04244,19.404210000000006
225,45301.332031,9.332030999998096,-0.03573,19.439940000000007
226,45301.375,9.375,-0.02977,19.469710000000006
227,45301.417969,9.417969000001904,-0.02488,19.494590000000006
228,45301.457031,9.457030999998096,-0.0213,19.515890000000006
229,45301.5,9.5,-0.01808,19.533970000000007
230,45301.542969,9.542969000001904,-0.01515,19.549120000000006
231,45301.582031,9.582030999998096,-0.01251,19.561630000000005
232,45301.625,9.625,-0.01016,19.571790000000004
233,45301.667969,9.667969000001904,-0.00814,19.579930000000004
