TIME_S,dk_MINERALIZATION_LAYER_1,dk_NITRIFICATION_LAYER_1,dk_DENITRIFICATION_LAYER_1,dk_MINERALIZATION_LAYER_2,dk_NITRIFICATION_LAYER_2,dk_DENITRIFICATION_LAYER_2,dk_MINERALIZATION_LAYER_3,dk_NITRIFICATION_LAYER_3,dk_DENITRIFICATION_LAYER_3,dk_MINERALIZATION_LAYER_4,dk_NITRIFICATION_LAYER_4,dk_DENITRIFICATION_LAYER_4,dk_MINERALIZATION_LAYER_5,dk_NITRIFICATION_LAYER_5,dk_DENITRIFICATION_LAYER_5,dk_MINERALIZATION_LAYER_6,dk_NITRIFICATION_LAYER_6,dk_DENITRIFICATION_LAYER_6,dk_MINERALIZATION_LAYER_7,dk_NITRIFICATION_LAYER_7,dk_DENITRIFICATION_LAYER_7,dk_MINERALIZATION_LAYER_8,dk_NITRIFICATION_LAYER_8,dk_DENITRIFICATION_LAYER_8,d[H2O],d[H],d[O],d[Charge],d[[AMMONIUM]],d[[NITRATE]],d[[NITROUS_GAS]],d[[ORGANIC_N]],d[[THETA_VMC]]
  0.86400000E+01, -0.34650504E-09, -0.26146590E-09,  0.00000000E+00, -0.13439520E-09, -0.84054175E-10,  0.00000000E+00, -0.59659200E-10, -0.65614880E-10,  0.00000000E+00, -0.16441920E-10, -0.98124991E-10,  0.00000000E+00, -0.94305619E-11, -0.48053095E-10,  0.00000000E+00,  0.00000000E+00, -0.61001848E-10,  0.00000000E+00,  0.00000000E+00, -0.85463869E-10,  0.00000000E+00, -0.37732175E-10, -0.10278775E-09,  0.00000000E+00,  0.37544867E-12, -0.75242156E-12, -0.37550000E-12, -0.10575732E-21, -0.20239260E-09,  0.80657019E-09,  0.00000000E+00, -0.60416405E-09, -0.24247965E-18
  0.19863000E+02, -0.45009561E-09, -0.33963778E-09,  0.00000000E+00, -0.17457377E-09, -0.10918551E-09,  0.00000000E+00, -0.77494816E-10, -0.85230678E-10,  0.00000000E+00, -0.21357371E-10, -0.12745599E-09,  0.00000000E+00, -0.12249907E-10, -0.62416944E-10,  0.00000000E+00,  0.00000000E+00, -0.79235657E-10,  0.00000000E+00,  0.00000000E+00, -0.11100952E-09,  0.00000000E+00, -0.49012524E-10, -0.13351359E-09,  0.00000000E+00,  0.47749153E-12, -0.95642520E-12, -0.47753043E-12, -0.16022363E-21, -0.26288489E-09,  0.10476919E-08,  0.00000000E+00, -0.78478391E-09,  0.37400636E-19
  0.34475805E+02, -0.58604269E-09, -0.44223291E-09,  0.00000000E+00, -0.22730210E-09, -0.14217033E-09,  0.00000000E+00, -0.10090138E-09, -0.11097304E-09,  0.00000000E+00, -0.27808156E-10, -0.16594250E-09,  0.00000000E+00, -0.15949869E-10, -0.81264490E-10,  0.00000000E+00,  0.00000000E+00, -0.10316030E-09,  0.00000000E+00,  0.00000000E+00, -0.14452806E-09,  0.00000000E+00, -0.63816291E-10, -0.17383185E-09,  0.00000000E+00,  0.60517620E-12, -0.12124923E-11, -0.60012755E-12, -0.19341045E-21, -0.34225585E-09,  0.13641137E-08,  0.00000000E+00, -0.10218204E-08, -0.13387208E-17
  0.53441360E+02, -0.76061064E-09, -0.57398163E-09,  0.00000000E+00, -0.29500991E-09, -0.18453022E-09,  0.00000000E+00, -0.13095747E-09, -0.14402795E-09,  0.00000000E+00, -0.36091535E-10, -0.21535526E-09,  0.00000000E+00, -0.20700952E-10, -0.10546294E-09,  0.00000000E+00,  0.00000000E+00, -0.13387619E-09,  0.00000000E+00,  0.00000000E+00, -0.18756116E-09,  0.00000000E+00, -0.82825622E-10, -0.22559821E-09,  0.00000000E+00,  0.76698777E-12, -0.15357175E-11, -0.76678167E-12, -0.29446067E-21, -0.44414948E-09,  0.17704115E-08,  0.00000000E+00, -0.13261959E-08, -0.12622368E-17
  0.78070240E+02, -0.98773587E-09, -0.74540844E-09,  0.00000000E+00, -0.38310254E-09, -0.23965080E-09,  0.00000000E+00, -0.17006255E-09, -0.18703385E-09,  0.00000000E+00, -0.46868798E-10, -0.27963281E-09,  0.00000000E+00, -0.26882446E-10, -0.13694119E-09,  0.00000000E+00,  0.00000000E+00, -0.17383081E-09,  0.00000000E+00,  0.00000000E+00, -0.24353777E-09,  0.00000000E+00, -0.10755810E-09, -0.29294040E-09,  0.00000000E+00,  0.97184445E-12, -0.19454345E-11, -0.97196349E-12, -0.39872853E-21, -0.57672159E-09,  0.22990015E-08,  0.00000000E+00, -0.17222099E-08, -0.34213778E-17
  0.11008778E+03, -0.12840538E-08, -0.96908069E-09,  0.00000000E+00, -0.49803221E-09, -0.31157604E-09,  0.00000000E+00, -0.22108084E-09, -0.24313984E-09,  0.00000000E+00, -0.60929300E-10, -0.36347207E-09,  0.00000000E+00, -0.34947101E-10, -0.17799962E-09,  0.00000000E+00,  0.00000000E+00, -0.22594238E-09,  0.00000000E+00,  0.00000000E+00, -0.31654632E-09,  0.00000000E+00, -0.13982523E-09, -0.38078204E-09,  0.00000000E+00,  0.12317409E-11, -0.24646388E-11, -0.12316157E-11, -0.48620730E-21, -0.74963109E-09,  0.29885740E-08,  0.00000000E+00, -0.22388679E-08, -0.18149544E-17
  0.15163436E+03, -0.16662160E-08, -0.12575875E-08,  0.00000000E+00, -0.64625736E-09, -0.40435955E-09,  0.00000000E+00, -0.28687927E-09, -0.31549739E-09,  0.00000000E+00, -0.79063178E-10, -0.47156526E-09,  0.00000000E+00, -0.45348114E-10, -0.23093645E-09,  0.00000000E+00,  0.00000000E+00, -0.29312501E-09,  0.00000000E+00,  0.00000000E+00, -0.41066950E-09,  0.00000000E+00, -0.18144023E-09, -0.49404414E-09,  0.00000000E+00,  0.15587645E-11, -0.31196192E-11, -0.15589408E-11, -0.59177864E-21, -0.97256178E-09,  0.38778206E-08,  0.00000000E+00, -0.29052033E-08, -0.20570178E-17
  0.20551507E+03, -0.21608720E-08, -0.16310794E-08,  0.00000000E+00, -0.83811429E-09, -0.52449040E-09,  0.00000000E+00, -0.37204623E-09, -0.40915002E-09,  0.00000000E+00, -0.10253497E-09, -0.61141940E-09,  0.00000000E+00, -0.58810784E-10, -0.29942865E-09,  0.00000000E+00,  0.00000000E+00, -0.38004067E-09,  0.00000000E+00,  0.00000000E+00, -0.53243874E-09,  0.00000000E+00, -0.23530510E-09, -0.64060042E-09,  0.00000000E+00,  0.19686153E-11, -0.39392195E-11, -0.19687326E-11, -0.90743219E-21, -0.12609328E-08,  0.50287080E-08,  0.00000000E+00, -0.37676820E-08, -0.27059431E-17
  0.27623351E+03, -0.28361437E-08, -0.21410414E-08,  0.00000000E+00, -0.11000247E-08, -0.68854161E-09,  0.00000000E+00, -0.48831055E-09, -0.53699173E-09,  0.00000000E+00, -0.13457712E-09, -0.80224736E-09,  0.00000000E+00, -0.77189133E-10, -0.39288634E-09,  0.00000000E+00,  0.00000000E+00, -0.49862372E-09,  0.00000000E+00,  0.00000000E+00, -0.69857415E-09,  0.00000000E+00, -0.30883786E-09, -0.84059638E-09,  0.00000000E+00,  0.25135988E-11, -0.50291473E-11, -0.25137876E-11, -0.13791173E-20, -0.16544186E-08,  0.65995222E-08,  0.00000000E+00, -0.49450829E-08, -0.35754212E-17
  0.36856036E+03, -0.37027432E-08, -0.27956772E-08,  0.00000000E+00, -0.14361434E-08, -0.89918310E-09,  0.00000000E+00, -0.63751656E-09, -0.70104252E-09,  0.00000000E+00, -0.17569790E-09, -0.10469667E-08,  0.00000000E+00, -0.10077470E-09, -0.51274024E-09,  0.00000000E+00,  0.00000000E+00, -0.65067345E-09,  0.00000000E+00,  0.00000000E+00, -0.91159654E-09,  0.00000000E+00, -0.40320498E-09, -0.10971173E-08,  0.00000000E+00,  0.31868384E-11, -0.63754029E-11, -0.31871097E-11, -0.20708895E-20, -0.21589128E-08,  0.86150321E-08,  0.00000000E+00, -0.64560804E-08, -0.26969746E-17
