step,date_serial,day,N_Leach_step,cum_NO3N_leached_kgNha
1,45292.0,0.0,0.0,0.0
2,45292.042969,0.04296900000190362,-0.0018,0.0018
3,45292.082031,0.08203099999809638,-0.00181,0.00361
4,45292.125,0.125,-0.00181,0.0054199999999999995
5,45292.167969,0.16796900000190362,-0.00182,0.00724
6,45292.207031,0.20703099999809638,-0.00182,0.00906
7,45292.25,0.25,-0.00183,0.01089
8,45292.292969,0.2929690000019036,-0.00184,0.01273
9,45292.332031,0.3320309999980964,-0.00184,0.01457
10,45292.375,0.375,-0.00184,0.01641
11,45292.417969,0.4179690000019036,-0.00184,0.018250000000000002
12,45292.457031,0.4570309999980964,-0.00185,0.020100000000000003
13,45292.5,0.5,-0.00185,0.021950000000000004
14,45292.542969,0.5429690000019036,-0.00185,0.023800000000000005
15,45292.582031,0.5820309999980964,-0.00184,0.025640000000000007
16,45292.625,0.625,-0.00184,0.027480000000000008
17,45292.667969,0.6679690000019036,-0.00184,0.02932000000000001
18,45292.707031,0.7070309999980964,-0.00183,0.03115000000000001
19,45292.75,0.75,-0.00183,0.03298000000000001
20,45292.792969,0.7929690000019036,-0.00182,0.03480000000000001
21,45292.832031,0.8320309999980964,-0.00181,0.03661000000000001
22,45292.875,0.875,-2.52305,2.55966
23,45292.917969,0.9179690000019036,-3.26249,5.822150000000001
24,45292.957031,0.9570309999980964,-2.02313,7.845280000000001
25,45293.0,1.0,-1.39543,9.24071
26,45293.042969,1.0429690000019036,-1.04194,10.28265
27,45293.082031,1.0820309999980964,-0.82594,11.10859
28,45293.125,1.125,-0.6671,11.775689999999999
29,45293.167969,1.1679690000019036,-0.56967,12.34536
30,45293.207031,1.2070309999980964,-0.48116,12.826519999999999
31,45293.25,1.25,-0.41867,13.24519
32,45293.292969,1.2929690000019036,-0.37504,13.62023
33,45293.332031,1.3320309999980964,-0.33355,13.95378
34,45293.375,1.375,-0.29613,14.24991
35,45293.417969,1.4179690000019036,-0.2696,14.51951
36,45293.457031,1.4570309999980964,-0.25004,14.76955
37,45293.5,1.5,-0.23073,15.00028
38,45293.542969,1.5429690000019036,-0.21251,15.21279
39,45293.582031,1.5820309999980964,-0.19549,15.40828
40,45293.625,1.625,-0.17985,15.58813
41,45293.667969,1.6679690000019036,-0.16877,15.7569
42,45293.707031,1.7070309999980964,-0.16054,15.91744
43,45293.75,1.75,-0.15226,16.069699999999997
44,45293.792969,1.7929690000019036,-0.14421,16.21391
45,45293.832031,1.8320309999980964,-0.13644,16.35035
46,45293.875,1.875,-0.12899,16.47934
47,45293.917969,1.9179690000019036,-0.12188,16.60122
48,45293.957031,1.9570309999980964,-0.11511,16.716330000000003
49,45294.0,2.0,-0.10872,16.825050000000005
50,45294.042969,2.0429690000019036,-0.10354,16.928590000000003
51,45294.082031,2.0820309999980964,-0.10022,17.028810000000004
52,45294.125,2.125,-0.09691,17.125720000000005
53,45294.167969,2.1679690000019036,-0.09361,17.219330000000006
54,45294.207031,2.2070309999980964,-0.09035,17.309680000000007
55,45294.25,2.25,-0.08716,17.396840000000008
56,45294.292969,2.2929690000019036,-0.08404,17.48088000000001
57,45294.332031,2.3320309999980964,-0.08099,17.56187000000001
58,45294.375,2.375,-0.07803,17.639900000000008
59,45294.417969,2.4179690000019036,-0.07516,17.71506000000001
60,45294.457031,2.4570309999980964,-0.07236,17.787420000000008
61,45294.5,2.5,-0.06966,17.857080000000007
62,45294.542969,2.5429690000019036,-0.06704,17.924120000000006
63,45294.582031,2.5820309999980964,-0.06453,17.988650000000007
64,45294.625,2.625,-0.0622,18.050850000000008
65,45294.667969,2.6679690000019036,-0.06064,18.111490000000007
66,45294.707031,2.7070309999980964,-0.0594,18.170890000000007
67,45294.75,2.75,-0.05814,18.22903000000001
68,45294.792969,2.7929690000019036,-0.05687,18.28590000000001
69,45294.832031,2.8320309999980964,-0.05561,18.34151000000001
70,45294.875,2.875,-0.05435,18.39586000000001
71,45294.917969,2.9179690000019036,-0.05311,18.44897000000001
72,45294.957031,2.9570309999980964,-0.05188,18.50085000000001
73,45295.0,3.0,-0.05066,18.55151000000001
74,45295.042969,3.0429690000019036,-0.04947,18.60098000000001
75,45295.082031,3.0820309999980964,-0.04829,18.649270000000012
76,45295.125,3.125,-0.04713,18.69640000000001
77,45295.167969,3.1679690000019036,-0.04599,18.74239000000001
78,45295.207031,3.2070309999980964,-0.04487,18.78726000000001
79,45295.25,3.25,-0.04378,18.831040000000012
80,45295.292969,3.2929690000019036,-0.0427,18.873740000000012
81,45295.332031,3.3320309999980964,-0.04164,18.915380000000013
82,45295.375,3.375,-0.0406,18.955980000000014
83,45295.417969,3.4179690000019036,-0.03958,18.995560000000015
84,45295.457031,3.4570309999980964,-0.03859,19.034150000000015
85,45295.5,3.5,-0.03762,19.071770000000015
86,45295.542969,3.5429690000019036,-0.03669,19.108460000000015
87,45295.582031,3.5820309999980964,-0.03591,19.144370000000016
88,45295.625,3.625,-0.03542,19.179790000000015
89,45295.667969,3.6679690000019036,-0.03496,19.214750000000016
90,45295.707031,3.7070309999980964,-0.03448,19.249230000000015
91,45295.75,3.75,-0.03401,19.283240000000013
92,45295.792969,3.7929690000019036,-0.03353,19.316770000000012
93,45295.832031,3.8320309999980964,-0.03305,19.349820000000012
94,45295.875,3.875,-0.03257,19.38239000000001
95,45295.917969,3.9179690000019036,-0.0321,19.41449000000001
96,45295.957031,3.9570309999980964,-0.03162,19.44611000000001
97,45296.0,4.0,-0.03115,19.477260000000012
98,45296.042969,4.042969000001904,-0.03069,19.50795000000001
99,45296.082031,4.082030999998096,-0.03022,19.53817000000001
100,45296.125,4.125,-0.02976,19.56793000000001
101,45296.167969,4.167969000001904,-0.0293,19.59723000000001
102,45296.207031,4.207030999998096,-0.02885,19.62608000000001
103,45296.25,4.25,-0.0284,19.65448000000001
104,45296.292969,4.292969000001904,-0.02795,19.68243000000001
105,45296.332031,4.332030999998096,-0.02751,19.70994000000001
106,45296.375,4.375,-0.02707,19.73701000000001
107,45296.417969,4.417969000001904,-0.02664,19.76365000000001
108,45296.457031,4.457030999998096,-0.02621,19.789860000000008
109,45296.5,4.5,-0.02578,19.81564000000001
110,45296.542969,4.542969000001904,-0.02536,19.841000000000008
111,45296.582031,4.582030999998096,-0.02495,19.86595000000001
112,45296.625,4.625,-0.02454,19.890490000000007
113,45296.667969,4.667969000001904,-0.02413,19.914620000000006
114,45296.707031,4.707030999998096,-0.02373,19.938350000000007
115,45296.75,4.75,-0.02333,19.96168000000001
116,45296.792969,4.792969000001904,-0.02294,19.984620000000007
117,45296.832031,4.832030999998096,-0.02255,20.007170000000006
118,45296.875,4.875,-0.02217,20.029340000000005
119,45296.917969,4.917969000001904,-0.0218,20.051140000000004
120,45296.957031,4.957030999998096,-0.02144,20.072580000000002
121,45297.0,5.0,-0.0211,20.093680000000003
122,45297.042969,5.042969000001904,-0.02088,20.11456
123,45297.082031,5.082030999998096,-0.02071,20.135270000000002
124,45297.125,5.125,-0.02053,20.155800000000003
125,45297.167969,5.167969000001904,-0.02036,20.176160000000003
126,45297.207031,5.207030999998096,-0.02018,20.196340000000003
127,45297.25,5.25,-0.02,20.216340000000002
128,45297.292969,5.292969000001904,-0.01982,20.23616
129,45297.332031,5.332030999998096,-0.01964,20.2558
130,45297.375,5.375,-0.01945,20.27525
131,45297.417969,5.417969000001904,-0.01927,20.29452
132,45297.457031,5.457030999998096,-0.01909,20.313609999999997
133,45297.5,5.5,-0.01891,20.33252
134,45297.542969,5.542969000001904,-0.01873,20.35125
135,45297.582031,5.582030999998096,-0.01855,20.3698
136,45297.625,5.625,-0.01837,20.388170000000002
137,45297.667969,5.667969000001904,-0.01819,20.406360000000003
138,45297.707031,5.707030999998096,-0.01801,20.424370000000003
139,45297.75,5.75,-0.01783,20.442200000000003
140,45297.792969,5.792969000001904,-0.01765,20.459850000000003
141,45297.832031,5.832030999998096,-0.01747,20.477320000000002
142,45297.875,5.875,-0.01729,20.49461
143,45297.917969,5.917969000001904,-0.01712,20.51173
144,45297.957031,5.957030999998096,-0.01694,20.52867
145,45298.0,6.0,-0.01676,20.545430000000003
146,45298.042969,6.042969000001904,-0.01659,20.562020000000004
147,45298.082031,6.082030999998096,-0.01642,20.578440000000004
148,45298.125,6.125,-0.01624,20.594680000000004
149,45298.167969,6.167969000001904,-0.01607,20.610750000000003
150,45298.207031,6.207030999998096,-0.0159,20.62665
151,45298.25,6.25,-0.01573,20.642380000000003
152,45298.292969,6.292969000001904,-0.01556,20.657940000000004
153,45298.332031,6.332030999998096,-0.01539,20.673330000000004
154,45298.375,6.375,-0.01522,20.688550000000003
155,45298.417969,6.417969000001904,-0.01506,20.70361
156,45298.457031,6.457030999998096,-0.01489,20.718500000000002
157,45298.5,6.5,-0.01473,20.733230000000002
158,45298.542969,6.542969000001904,-0.01456,20.747790000000002
159,45298.582031,6.582030999998096,-0.0144,20.76219
160,45298.625,6.625,-0.01424,20.77643
161,45298.667969,6.667969000001904,-0.01408,20.79051
162,45298.707031,6.707030999998096,-0.01392,20.80443
163,45298.75,6.75,-0.01376,20.81819
164,45298.792969,6.792969000001904,-0.0136,20.83179
165,45298.832031,6.832030999998096,-0.01344,20.84523
166,45298.875,6.875,-0.01329,20.858520000000002
167,45298.917969,6.917969000001904,-0.01313,20.871650000000002
168,45298.957031,6.957030999998096,-0.01298,20.88463
169,45299.0,7.0,-0.01283,20.897460000000002
170,45299.042969,7.042969000001904,-0.01268,20.910140000000002
171,45299.082031,7.082030999998096,-0.01254,20.922680000000003
172,45299.125,7.125,-0.01242,20.935100000000002
173,45299.167969,7.167969000001904,-0.01236,20.947460000000003
174,45299.207031,7.207030999998096,-0.01229,20.959750000000003
175,45299.25,7.25,-0.01223,20.971980000000002
176,45299.292969,7.292969000001904,-0.01216,20.984140000000004
177,45299.332031,7.332030999998096,-0.01209,20.996230000000004
178,45299.375,7.375,-0.01202,21.008250000000004
179,45299.417969,7.417969000001904,-0.01195,21.020200000000003
180,45299.457031,7.457030999998096,-0.01188,21.032080000000004
181,45299.5,7.5,-0.01181,21.043890000000005
182,45299.542969,7.542969000001904,-0.01174,21.055630000000004
183,45299.582031,7.582030999998096,-0.01167,21.067300000000003
184,45299.625,7.625,-0.0116,21.078900000000004
185,45299.667969,7.667969000001904,-0.01153,21.090430000000005
186,45299.707031,7.707030999998096,-0.01146,21.101890000000004
187,45299.75,7.75,-0.01138,21.113270000000004
188,45299.792969,7.792969000001904,-0.01131,21.124580000000005
189,45299.832031,7.832030999998096,-0.01124,21.135820000000006
190,45299.875,7.875,-0.01117,21.146990000000006
191,45299.917969,7.917969000001904,-0.0111,21.158090000000005
192,45299.957031,7.957030999998096,-0.01103,21.169120000000007
193,45300.0,8.0,-0.01095,21.180070000000008
194,45300.042969,8.042969000001904,-0.01088,21.190950000000008
195,45300.082031,8.082030999998096,-0.01081,21.201760000000007
196,45300.125,8.125,-0.01074,21.212500000000006
197,45300.167969,8.167969000001904,-0.01067,21.223170000000007
198,45300.207031,8.207030999998096,-0.01059,21.233760000000007
199,45300.25,8.25,-0.01052,21.244280000000007
200,45300.292969,8.292969000001904,-0.01045,21.254730000000006
