variant,reaction,selout_kgha,delta_kgha,rel_diff
NR,mineralization,-0.0,-8.854102936799798e-10,0.0
NR,nitrification,-0.0,-8.899171946992125e-10,0.0
NR,denitrification,-0.0,0.0,0.0
ZK,mineralization,54.17176793448188,54.17176791538266,3.525677938124224e-10
ZK,nitrification,55.15445950746528,55.15445956828415,1.1027008822919236e-09
ZK,denitrification,56.62340234327021,56.623403926633365,2.796305138558277e-08
ZK_ND,mineralization,54.17176793448188,54.17176777801461,2.8883544397381177e-09
ZK_ND,nitrification,55.15445985738255,55.15445942980761,7.75231850956256e-09
ZK_ND,denitrification,-0.0,0.0,0.0
FK,mineralization,37.39732432244591,37.39732430119082,5.683586005573407e-10
FK,nitrification,39.31753835119914,39.31753826348677,2.230871509924363e-09
FK,denitrification,25.541460505205094,25.54146277021372,8.867967526873814e-08
FK_ND,mineralization,37.39732432302592,37.39732420574909,3.135968350602276e-09
FK_ND,nitrification,39.31753881014234,39.317538166055854,1.6381658349642278e-08
FK_ND,denitrification,-0.0,0.0,0.0
CK,mineralization,11.575349244984688,11.575349247389497,2.0775252676655857e-10
CK,nitrification,14.972011916845156,14.972011514159208,2.6895914194564617e-08
CK,denitrification,2.492934504067782,2.4929346405747608,5.475754420634983e-08
