NODE_NUM, TIME, DATE, HOUR, X, Y, CONC1, CONC2, CONC3, CONC4, CONC5 
1 ,45292. ,01/01/2024 ,.0000 ,.0000 ,101.00 ,.0000 ,.0000 ,22.923 ,7.7978 ,16.759 ,
6 ,45292. ,01/01/2024 ,.0000 ,.0000 ,100.00 ,.0000 ,.0000 ,22.923 ,7.7978 ,16.759 ,
11 ,45292. ,01/01/2024 ,.0000 ,.0000 ,99.000 ,.0000 ,.0000 ,22.923 ,7.7978 ,16.759 ,
16 ,45292. ,01/01/2024 ,.0000 ,.0000 ,98.000 ,.0000 ,.0000 ,22.923 ,7.7978 ,16.759 ,
21 ,45292. ,01/01/2024 ,.0000 ,.0000 ,97.000 ,.0000 ,.0000 ,22.923 ,7.7978 ,16.759 ,
26 ,45292. ,01/01/2024 ,.0000 ,.0000 ,96.000 ,.0000 ,.0000 ,22.923 ,7.7978 ,16.759 ,
31 ,45292. ,01/01/2024 ,.0000 ,.0000 ,95.000 ,.0000 ,.0000 ,22.923 ,7.7978 ,16.759 ,
36 ,45292. ,01/01/2024 ,.0000 ,.0000 ,94.000 ,.0000 ,.0000 ,22.923 ,7.7978 ,16.759 ,
41 ,45292. ,01/01/2024 ,.0000 ,.0000 ,93.000 ,.0000 ,.0000 ,22.923 ,7.7978 ,16.759 ,
46 ,45292. ,01/01/2024 ,.0000 ,.0000 ,92.000 ,.0000 ,.0000 ,22.923 ,7.7978 ,16.759 ,
51 ,45292. ,01/01/2024 ,.0000 ,.0000 ,91.000 ,.0000 ,.0000 ,22.923 ,7.7978 ,16.759 ,
56 ,45292. ,01/01/2024 ,.0000 ,.0000 ,90.000 ,.0000 ,.0000 ,22.923 ,7.7978 ,16.759 ,
61 ,45292. ,01/01/2024 ,.0000 ,.0000 ,89.000 ,.0000 ,.0000 ,22.923 ,7.7978 ,16.759 ,
66 ,45292. ,01/01/2024 ,.0000 ,.0000 ,88.000 ,.0000 ,.0000 ,22.923 ,7.7978 ,16.759 ,
71 ,45292. ,01/01/2024 ,.0000 ,.0000 ,87.000 ,.0000 ,.0000 ,22.923 ,7.7978 ,16.759 ,
76 ,45292. ,01/01/2024 ,.0000 ,.0000 ,86.000 ,.0000 ,.0000 ,22.923 ,7.7978 ,16.759 ,
81 ,45292. ,01/01/2024 ,.0000 ,.0000 ,85.000 ,.0000 ,.0000 ,22.923 ,7.7978 ,16.759 ,
86 ,45292. ,01/01/2024 ,.0000 ,.0000 ,84.000 ,.0000 ,.0000 ,22.923 ,7.7978 ,16.759 ,
91 ,45292. ,01/01/2024 ,.0000 ,.0000 ,83.000 ,.0000 ,.0000 ,22.923 ,7.7978 ,16.759 ,
96 ,45292. ,01/01/2024 ,.0000 ,.0000 ,82.000 ,.0000 ,.0000 ,22.923 ,7.7978 ,16.759 ,
101 ,45292. ,01/01/2024 ,.0000 ,.0000 ,81.000 ,.0000 ,.0000 ,22.923 ,7.7978 ,16.759 ,
106 ,45292. ,01/01/2024 ,.0000 ,.0000 ,80.000 ,.0000 ,.0000 ,22.923 ,7.7978 ,16.759 ,
111 ,45292. ,01/01/2024 ,.0000 ,.0000 ,79.000 ,.0000 ,.0000 ,22.923 ,7.7978 ,16.759 ,
116 ,45292. ,01/01/2024 ,.0000 ,.0000 ,78.000 ,.0000 ,.0000 ,22.923 ,7.7978 ,16.759 ,
121 ,45292. ,01/01/2024 ,.0000 ,.0000 ,77.000 ,.0000 ,.0000 ,22.923 ,7.7978 ,16.759 ,
126 ,45292. ,01/01/2024 ,.0000 ,.0000 ,76.000 ,.0000 ,.0000 ,22.923 ,7.7978 ,16.759 ,
131 ,45292. ,01/01/2024 ,.0000 ,.0000 ,75.000 ,.0000 ,.0000 ,22.923 ,7.7978 ,16.759 ,
136 ,45292. ,01/01/2024 ,.0000 ,.0000 ,74.000 ,.0000 ,.0000 ,22.923 ,7.7978 ,16.759 ,
141 ,45292. ,01/01/2024 ,.0000 ,.0000 ,73.000 ,.0000 ,.0000 ,22.923 ,7.7978 ,16.759 ,
146 ,45292. ,01/01/2024 ,.0000 ,.0000 ,72.000 ,.0000 ,.0000 ,22.923 ,7.7978 ,16.759 ,
151 ,45292. ,01/01/2024 ,.0000 ,.0000 ,71.000 ,.0000 ,.0000 ,22.923 ,7.7978 ,16.759 ,
156 ,45292. ,01/01/2024 ,.0000 ,.0000 ,70.000 ,.0000 ,.0000 ,22.923 ,7.7978 ,16.759 ,
161 ,45292. ,01/01/2024 ,.0000 ,.0000 ,69.000 ,.0000 ,.0000 ,22.923 ,7.7978 ,16.759 ,
166 ,45292. ,01/01/2024 ,.0000 ,.0000 ,68.000 ,.0000 ,.0000 ,22.923 ,7.7978 ,16.759 ,
171 ,45292. ,01/01/2024 ,.0000 ,.0000 ,67.000 ,.0000 ,.0000 ,22.923 ,7.7978 ,16.759 ,
176 ,45292. ,01/01/2024 ,.0000 ,.0000 ,66.000 ,.0000 ,.0000 ,22.923 ,7.7978 ,16.759 ,
181 ,45292. ,01/01/2024 ,.0000 ,.0000 ,65.000 ,.0000 ,.0000 ,22.923 ,7.7978 ,16.759 ,
186 ,45292. ,01/01/2024 ,.0000 ,.0000 ,64.000 ,.0000 ,.0000 ,22.923 ,7.7978 ,16.759 ,
191 ,45292. ,01/01/2024 ,.0000 ,.0000 ,63.000 ,.0000 ,.0000 ,22.923 ,7.7978 ,16.759 ,
196 ,45292. ,01/01/2024 ,.0000 ,.0000 ,62.000 ,.0000 ,.0000 ,22.923 ,7.7978 ,16.759 ,
201 ,45292. ,01/01/2024 ,.0000 ,.0000 ,61.000 ,.0000 ,.0000 ,22.923 ,7.7978 ,16.759 ,
206 ,45292. ,01/01/2024 ,.0000 ,.0000 ,60.000 ,.0000 ,.0000 ,22.923 ,7.7978 ,16.759 ,
211 ,45292. ,01/01/2024 ,.0000 ,.0000 ,59.000 ,.0000 ,.0000 ,22.923 ,7.7978 ,16.759 ,
216 ,45292. ,01/01/2024 ,.0000 ,.0000 ,58.000 ,.0000 ,.0000 ,22.923 ,7.7978 ,16.759 ,
221 ,45292. ,01/01/2024 ,.0000 ,.0000 ,57.000 ,.0000 ,.0000 ,22.923 ,7.7978 ,16.759 ,
226 ,45292. ,01/01/2024 ,.0000 ,.0000 ,56.000 ,.0000 ,.0000 ,22.923 ,7.7978 ,16.759 ,
231 ,45292. ,01/01/2024 ,.0000 ,.0000 ,55.000 ,.0000 ,.0000 ,22.923 ,7.7978 ,16.759 ,
236 ,45292. ,01/01/2024 ,.0000 ,.0000 ,54.000 ,.0000 ,.0000 ,22.923 ,7.7978 ,16.759 ,
241 ,45292. ,01/01/2024 ,.0000 ,.0000 ,53.000 ,.0000 ,.0000 ,22.923 ,7.7978 ,16.759 ,
246 ,45292. ,01/01/2024 ,.0000 ,.0000 ,52.000 ,.0000 ,.0000 ,22.923 ,7.7978 ,16.759 ,
251 ,45292. ,01/01/2024 ,.0000 ,.0000 ,50.500 ,.0000 ,.0000 ,22.923 ,7.7978 ,16.759 ,
256 ,45292. ,01/01/2024 ,.0000 ,.0000 ,49.000 ,.0000 ,.0000 ,22.923 ,7.7978 ,16.759 ,
261 ,45292. ,01/01/2024 ,.0000 ,.0000 ,48.000 ,.0000 ,.0000 ,22.923 ,7.7978 ,16.759 ,
266 ,45292. ,01/01/2024 ,.0000 ,.0000 ,47.000 ,.0000 ,.0000 ,22.923 ,7.7978 ,16.759 ,
271 ,45292. ,01/01/2024 ,.0000 ,.0000 ,46.000 ,.0000 ,.0000 ,22.923 ,7.7978 ,16.759 ,
276 ,45292. ,01/01/2024 ,.0000 ,.0000 ,45.000 ,.0000 ,.0000 ,22.923 ,7.7978 ,16.759 ,
